route,phase,mean_fold_mse_improvement,mean_fold_top_realized,top_events,top_signal_dates,mean_fold_domain_out
ATRDR_BULL,CONSUMED_HISTORY_TEMPORAL_CHECK,1.0120204928654522e-05,-0.00022452306694013333,337,80,0.008182755621456766
ATRDR_BULL,DISCOVERY_FORWARD,-7.796472955050528e-05,-0.0024029064805569803,585,143,0.00222733058253674
ATRDR_FAST_BEAR,CONSUMED_HISTORY_TEMPORAL_CHECK,8.191428943470643e-05,-0.011469458733326152,20,11,0.0131578947368421
ATRDR_FAST_BEAR,DISCOVERY_FORWARD,9.940144014894998e-05,0.008808513824324453,24,8,0.0840097402597402
ATRDR_SLOW_BEAR,CONSUMED_HISTORY_TEMPORAL_CHECK,4.370318662389079e-06,-0.0128991305017832,89,36,0.004830917874396133
ATRDR_SLOW_BEAR,DISCOVERY_FORWARD,-1.0721735466371994e-05,-0.01307618860908572,193,71,0.013272244783080658
MCB,CONSUMED_HISTORY_TEMPORAL_CHECK,4.625777086198139e-05,-0.0022471975997965664,230,39,0.0154956139825278
MCB,DISCOVERY_FORWARD,-1.099887391833414e-05,-0.005003806491174561,398,62,0.01436473986920632
OGR,CONSUMED_HISTORY_TEMPORAL_CHECK,-3.0212728915233675e-06,-0.00722199135477605,20,17,0.0040816326530612
OGR,DISCOVERY_FORWARD,1.5216629796123643e-05,0.01121902277514235,13,11,0.0
SMV6,CONSUMED_HISTORY_TEMPORAL_CHECK,7.4504518725611695e-06,0.03427191169673885,8,5,0.0333333333333333
SMV6,DISCOVERY_FORWARD,-8.151873278902883e-06,0.0038735840216358,5,5,0.0
