blind_id,triplet_id,symbol,trade_date,year,label,participation,direction,turn,retention,quieting,spike_distribution,volume_alignment,rejection,context,ir20,ir40,ir60,persistent_excess_score,mfe60,mae60,future_dd60
CASE_000617,235,300552.SZ,2021-04-22,2021,LOSER,HIGH,0,1,0.0,-1.0,0,1.0,0.0,0,-0.12268822332442508,-0.16896037209713372,-0.3058703637073251,0.10050590219224283,0.0036344755970925124,-0.29182643898101057,-0.2799221393000788
CASE_000741,160,000999.SZ,2020-02-28,2020,LOSER,MID,1,-1,1.0,0.0,-1,1.0,0.0,2,-0.13018854232652213,-0.12038771603352139,-0.16877754690935215,0.13333333333333333,0.041158536585365946,-0.18628048780487816,-0.2077308940690472
CASE_000080,11,002529.SZ,2018-07-11,2018,LOSER,LOW,-2,-2,-2.0,,-1,,0.0,-2,-0.10339369591227741,-0.11075000220631637,-0.17858991503658667,0.14742589703588144,0.0972088546679497,-0.2887391722810394,-0.3330324909747291
CASE_000422,168,300636.SZ,2020-03-10,2020,WINNER,HIGH,1,2,2.0,-1.0,0,1.0,0.0,2,0.2080302566935285,0.10785738661569967,0.4851066946643096,0.9659543643607389,0.5281563467833181,-0.14813785436353533,-0.18268261115971407
CASE_000125,82,300473.SZ,2019-01-07,2019,LOSER,MID,0,-1,0.0,0.0,0,1.0,0.0,0,-0.017755327771807744,-0.1275746065265374,-0.17858526674202857,0.1730345334313005,0.17459396751740242,-0.081206496519721,-0.1325788197251414
CASE_000711,184,600206.SH,2021-01-29,2021,NEUTRAL,LOW,-2,-2,-2.0,0.0,0,0.0,0.0,-1,0.06797326426151921,-0.0056722573500709375,-0.050526431549873026,0.5263157894736842,0.13865546218487412,-0.09495798319327764,-0.14340198321891662
CASE_000765,223,603131.SH,2021-04-16,2021,LOSER,HIGH,-1,1,-1.0,0.0,1,1.0,0.0,0,-0.14583666840485768,-0.25027544515170075,-0.2640690340017908,0.0722972972972973,0.0625601539942251,-0.23252687806815953,-0.22937753554890805
CASE_000323,160,000538.SZ,2020-02-28,2020,WINNER,MID,0,-1,-1.0,0.0,0,1.0,0.0,0,0.06631247103122478,0.10454495743591881,0.12080746907745378,0.8243727598566308,0.2168001016647607,-0.09772525098487717,-0.09231707317073168
CASE_000142,78,002843.SZ,2019-11-29,2019,LOSER,LOW,-1,0,-1.0,1.0,-1,1.0,0.0,-1,-0.09387982957888565,-0.1345874313478362,-0.18282952971135258,0.17525035765379113,0.05256723716381395,-0.22249388753056243,-0.20954598370197908
CASE_000127,34,600351.SH,2018-01-04,2018,NEUTRAL,MID,-1,1,-1.0,0.0,-1,1.0,0.0,-1,-0.0022224384499902536,0.0013431958252692446,-0.03735636007447382,0.5289156626506024,0.07047872340425543,-0.07845744680851063,-0.06878306878306872
CASE_000124,107,000897.SZ,2019-01-23,2019,LOSER,HIGH,0,0,0.0,0.0,-1,1.0,0.0,-1,-0.060844195964895265,-0.294414315958138,-0.28471566157943395,0.046863468634686344,0.42125984251968474,-0.13385826771653542,-0.2941176470588234
CASE_000165,117,002713.SZ,2019-07-02,2019,LOSER,HIGH,1,-1,0.0,1.0,1,1.0,0.0,0,-0.10443147036782661,-0.18388771765965503,-0.1841488065619606,0.056085043988269793,0.001945525291829009,-0.22081712062256786,-0.2023346303501945
CASE_000369,46,300075.SZ,2018-05-23,2018,NEUTRAL,HIGH,0,-1,-1.0,-1.0,0,1.0,0.0,-1,0.0027883762655494804,-0.003592058531188297,-0.040680258224806365,0.5249376558603491,0.00694444444444442,-0.2471513620404424,-0.23513108966965957
CASE_000578,153,000610.SZ,2020-04-23,2020,LOSER,MID,0,0,0.0,-1.0,-1,1.0,0.0,-1,-0.11092082842359076,-0.1329067499651269,-0.27052478515470174,0.12237375598967933,0.13096559378468364,-0.15094339622641517,-0.14317425083240853
CASE_000047,58,002686.SZ,2018-07-17,2018,LOSER,HIGH,-1,2,-1.0,-2.0,-1,1.0,0.0,-1,-0.13789188806624045,-0.19982168826164307,-0.1948650751182754,0.04726850058117009,0.06043329532497177,-0.4287343215507412,-0.4241733181299886
CASE_000746,140,603901.SH,2020-09-15,2020,NEUTRAL,LOW,1,-1,1.0,0.0,1,1.0,0.0,1,-0.017172217745132626,0.05977237145563229,-0.022700654888079513,0.48262682418346076,0.11143695014662747,-0.12805474095796676,-0.1950354609929077
CASE_000183,230,600745.SH,2021-03-08,2021,LOSER,HIGH,-1,-1,-1.0,0.0,-1,-1.0,0.0,-2,-0.06035163261900409,-0.25774224003215906,-0.3981459134824943,0.0204560697518444,0.016610978520286368,-0.25661097852028647,-0.2324582338902148
CASE_000036,227,600405.SH,2021-09-13,2021,NEUTRAL,HIGH,1,0,1.0,0.0,0,1.0,0.0,1,-0.021046572885491208,-0.023367445702173542,0.027263284104962898,0.5043997485857951,0.2218749999999996,-0.09375000000000022,-0.12650602409638545
