blind_id,note,sheet
CASE_000769,早峰后阶梯下跌末端微抬,1
CASE_000355,下行平台不断降低尾部破位,1
CASE_000549,宽底双回撤后加速放量,1
CASE_000281,上升后高位横盘略回落,1
CASE_000448,底部回升但上影长且尾部失败,1
CASE_000257,弧形底部持续抬高,1
CASE_000133,长期下行末端急反弹,1
CASE_000169,急跌V恢复后横盘,1
CASE_000213,尖峰被迅速吐回原区间,1
CASE_000206,区间多次失败尾部反弹,1
CASE_000696,早期极端尖峰消退后磨底,1
CASE_000264,下降后底部宽幅震荡,1
CASE_000658,早期跳升后多次回吐,1
CASE_000261,断崖后低位缩量磨底再回升,1
CASE_000567,反复脉冲后下破,1
CASE_000338,台阶上行后高位宽箱,1
CASE_000799,持续下降末端新低,2
CASE_000575,区间低点抬升尾部急回吐,2
CASE_000768,横向大波动尾部跌破,2
CASE_000788,上涨失败后长期低位平静,2
CASE_000584,高位箱体整体跌回,2
CASE_000083,来回宽幅无持续方向,2
CASE_000314,底部渐进上升高位保留,2
CASE_000399,平滑上升中断交易后缺口回落,2
CASE_000446,逐步上移后箱体保留,2
CASE_000374,低波底部尾部跳升回吐,2
CASE_000069,多次单日尖刺全部回吐,2
CASE_000566,偶发尖峰后长期平静,2
CASE_000116,长停牌横线复牌后下跌量比不可比,2
CASE_000158,尖峰翻倍后持续吐回,2
CASE_000689,先缓升后阶梯下跌,2
CASE_000509,脉冲失败后底部区间,2
CASE_000345,深回撤后宽底抬升,3
CASE_000210,长箱体后平滑扩张,3
CASE_000233,宽幅来回下影较多,3
CASE_000457,停牌后深跌再急升,3
CASE_000361,持续台阶抬升高平台再突破,3
CASE_000088,底部起伏后加速上升,3
CASE_000660,长期平缓末端加速,3
CASE_000107,跳跃上移后大部回吐,3
CASE_000074,放量爆发后深回撤又反弹,3
CASE_000089,宽底后上升保留在高位,3
CASE_000359,连续下降尾部新低,3
CASE_000586,长期横盘后破位有弱反弹,3
CASE_000006,跳升台阶后末端急吐,3
CASE_000260,高波动大区间并无单方向,3
CASE_000039,反复尖峰回落低位收窄,3
CASE_000229,两次跳升全部回吐后平静,3
CASE_000132,横盘逐步转为下行加速,4
CASE_000022,宽箱体尾部下台阶,4
CASE_000404,长底放量抬升后高位收窄,4
CASE_000519,上升深回撤后恢复部分高位,4
CASE_000416,末端单次尖峰部分吐回,4
CASE_000025,多次脉冲宽箱体,4
CASE_000492,早峰持续下降反弹又失败,4
CASE_000656,双低点后恢复并台阶上移,4
CASE_000433,低位宽箱反复尖刺,4
CASE_000263,上涨尖峰后连续衰减,4
CASE_000667,冲高失败尾部加速跌,4
CASE_000587,稳定下降末端小反弹,4
CASE_000762,跳跃下台阶后低位安静,4
CASE_000423,持续箱体尖刺不保留,4
CASE_000347,末端缺口下跌后回补,4
CASE_000717,极端山峰后几乎全部回吐,4
CASE_000752,低位平台抬升后保留,5
CASE_000002,早宽幅顶部后安静低位,5
CASE_000473,两次顶部失败回落,5
CASE_000360,孤立上跳被回吐后区间,5
CASE_000507,逐段下跌末端新低,5
CASE_000357,深V后急升新高,5
CASE_000748,下降中的反复弱反弹,5
CASE_000348,突降恢复后第二次台阶突破,5
CASE_000458,跳升冲高后保留小部分,5
CASE_000053,下台阶后安静低位箱,5
CASE_000594,缓降后深跌再修复,5
CASE_000186,区间尾部向下跳跃,5
CASE_000610,深底突破再回撤又收复,5
CASE_000781,持续下跌转低位平静,5
