blind_id,stage
CASE_000081,formal
CASE_000478,formal
CASE_000769,open
CASE_000670,formal
CASE_000180,formal
CASE_000429,formal
CASE_000579,formal
CASE_000723,formal
CASE_000166,formal
CASE_000731,formal
CASE_000574,formal
CASE_000134,formal
CASE_000793,formal
CASE_000109,formal
CASE_000355,open
CASE_000747,formal
CASE_000792,formal
CASE_000549,open
CASE_000599,formal
CASE_000418,formal
CASE_000681,formal
CASE_000760,formal
CASE_000302,formal
CASE_000281,open
CASE_000754,formal
CASE_000061,formal
CASE_000207,formal
CASE_000665,formal
CASE_000059,formal
CASE_000448,open
CASE_000521,formal
CASE_000664,formal
CASE_000171,formal
CASE_000220,formal
CASE_000257,open
CASE_000068,formal
CASE_000133,open
CASE_000150,formal
CASE_000640,formal
CASE_000169,open
CASE_000239,formal
CASE_000085,formal
CASE_000763,formal
CASE_000224,formal
CASE_000703,formal
CASE_000692,formal
CASE_000213,open
CASE_000376,formal
CASE_000184,formal
CASE_000206,open
CASE_000710,formal
CASE_000417,formal
CASE_000099,formal
CASE_000108,formal
CASE_000032,formal
CASE_000543,formal
CASE_000734,formal
CASE_000696,open
CASE_000363,formal
CASE_000431,formal
CASE_000648,formal
CASE_000058,formal
CASE_000129,formal
CASE_000189,formal
CASE_000278,formal
CASE_000264,open
CASE_000658,open
CASE_000282,formal
CASE_000449,formal
CASE_000261,open
CASE_000141,formal
CASE_000350,formal
CASE_000029,formal
CASE_000387,formal
CASE_000495,formal
CASE_000072,formal
CASE_000385,formal
CASE_000779,formal
CASE_000305,formal
CASE_000614,formal
CASE_000567,open
CASE_000708,formal
CASE_000759,formal
CASE_000338,open
CASE_000232,formal
CASE_000551,formal
CASE_000799,open
CASE_000585,formal
CASE_000191,formal
CASE_000565,formal
CASE_000476,formal
CASE_000368,formal
CASE_000575,open
CASE_000768,open
CASE_000367,formal
CASE_000788,open
CASE_000584,open
CASE_000037,formal
CASE_000077,formal
CASE_000083,open
CASE_000578,formal
CASE_000312,formal
CASE_000319,formal
CASE_000475,formal
CASE_000314,open
CASE_000209,formal
CASE_000399,open
CASE_000677,formal
CASE_000427,formal
CASE_000188,formal
CASE_000237,formal
CASE_000437,formal
CASE_000143,formal
CASE_000023,formal
CASE_000446,open
CASE_000374,open
CASE_000592,formal
CASE_000069,open
CASE_000536,formal
CASE_000566,open
CASE_000116,open
CASE_000114,formal
CASE_000158,open
CASE_000392,formal
CASE_000105,formal
CASE_000689,open
CASE_000554,formal
CASE_000504,formal
CASE_000532,formal
CASE_000582,formal
CASE_000509,open
CASE_000262,formal
CASE_000289,formal
CASE_000343,formal
CASE_000345,open
CASE_000056,formal
CASE_000126,formal
CASE_000328,formal
CASE_000490,formal
CASE_000210,open
CASE_000001,formal
CASE_000118,formal
CASE_000719,formal
CASE_000233,open
CASE_000580,formal
CASE_000444,formal
CASE_000724,formal
CASE_000572,formal
CASE_000055,formal
CASE_000457,open
CASE_000354,formal
CASE_000632,formal
CASE_000486,formal
CASE_000470,formal
CASE_000048,formal
CASE_000361,open
CASE_000422,formal
CASE_000789,formal
CASE_000618,formal
CASE_000088,open
CASE_000101,formal
CASE_000241,formal
CASE_000660,open
CASE_000676,formal
CASE_000511,formal
CASE_000407,formal
CASE_000208,formal
CASE_000321,formal
CASE_000107,open
CASE_000564,formal
CASE_000753,formal
CASE_000074,open
CASE_000198,formal
CASE_000735,formal
CASE_000089,open
CASE_000190,formal
CASE_000066,formal
CASE_000773,formal
CASE_000359,open
CASE_000586,open
CASE_000156,formal
CASE_000644,formal
CASE_000035,formal
CASE_000550,formal
CASE_000315,formal
CASE_000351,formal
CASE_000006,open
CASE_000577,formal
CASE_000260,open
CASE_000039,open
CASE_000047,formal
CASE_000397,formal
CASE_000646,formal
CASE_000542,formal
CASE_000218,formal
CASE_000535,formal
CASE_000604,formal
CASE_000766,formal
CASE_000093,formal
CASE_000438,formal
CASE_000691,formal
CASE_000112,formal
CASE_000481,formal
CASE_000714,formal
CASE_000471,formal
CASE_000641,formal
CASE_000256,formal
CASE_000796,formal
CASE_000236,formal
CASE_000229,open
CASE_000065,formal
CASE_000132,open
CASE_000022,open
CASE_000404,open
CASE_000095,formal
CASE_000519,open
CASE_000024,formal
CASE_000014,formal
CASE_000593,formal
CASE_000416,open
CASE_000025,open
CASE_000751,formal
CASE_000492,open
CASE_000656,open
CASE_000595,formal
CASE_000433,open
CASE_000003,formal
CASE_000263,open
CASE_000409,formal
CASE_000104,formal
CASE_000443,formal
CASE_000667,open
CASE_000400,formal
CASE_000128,formal
CASE_000125,formal
CASE_000234,formal
CASE_000587,open
CASE_000690,formal
CASE_000377,formal
CASE_000043,formal
CASE_000544,formal
CASE_000725,formal
CASE_000052,formal
CASE_000762,open
CASE_000163,formal
CASE_000460,formal
CASE_000783,formal
CASE_000558,formal
CASE_000160,formal
CASE_000142,formal
CASE_000076,formal
CASE_000144,formal
CASE_000491,formal
CASE_000477,formal
CASE_000252,formal
CASE_000498,formal
CASE_000423,open
CASE_000044,formal
CASE_000157,formal
CASE_000426,formal
CASE_000727,formal
CASE_000347,open
CASE_000291,formal
CASE_000146,formal
CASE_000410,formal
CASE_000736,formal
CASE_000717,open
CASE_000678,formal
CASE_000712,formal
CASE_000767,formal
CASE_000785,formal
CASE_000752,open
CASE_000686,formal
CASE_000707,formal
CASE_000414,formal
CASE_000165,formal
CASE_000629,formal
CASE_000561,formal
CASE_000330,formal
CASE_000106,formal
CASE_000508,formal
CASE_000255,formal
CASE_000002,open
CASE_000693,formal
CASE_000683,formal
CASE_000473,open
CASE_000697,formal
CASE_000249,formal
CASE_000054,formal
CASE_000296,formal
CASE_000360,open
CASE_000442,formal
CASE_000638,formal
CASE_000005,formal
CASE_000525,formal
CASE_000612,formal
CASE_000730,formal
CASE_000797,formal
CASE_000694,formal
CASE_000617,formal
CASE_000704,formal
CASE_000215,formal
CASE_000507,open
CASE_000214,formal
CASE_000357,open
CASE_000063,formal
CASE_000292,formal
CASE_000266,formal
CASE_000748,open
CASE_000310,formal
CASE_000424,formal
CASE_000432,formal
CASE_000373,formal
CASE_000238,formal
