gap,mcb_mode,target,mechanic,year,scope,peak,trough,dimension,name,pnl,peak_nav,drawdown_contribution_percentage_points,contribution_basis
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,strategy,ATRDR,-376361.46745786926,8016354.315796261,4.694920566525451,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,strategy,MCB,-80801.19940397523,8016354.315796261,1.0079544418933195,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,strategy,OGR,-2029.864746044236,8016354.315796261,0.02532154475812501,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,strategy,SMV6,-31019.683159759777,8016354.315796261,0.38695499148079515,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,route,BULL,-143182.2138456706,8016354.315796261,1.7861263138472987,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,route,FAST_BEAR,344.33970995510754,8016354.315796261,-0.004295465200141973,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,route,FIXED_BELOW_L_REPAIR,-2029.864746044236,8016354.315796261,0.02532154475812501,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,route,MCB,-80801.19940397523,8016354.315796261,1.0079544418933195,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,route,NATIVE_CALLBACK,-31019.683159759777,8016354.315796261,0.38695499148079515,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,route,SLOW_BEAR,-233523.5933221538,8016354.315796261,2.913089717878295,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,symbol,000069.SZ,1042.896976549011,8016354.315796261,-0.013009616784202989,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,symbol,000070.SZ,-31029.81248047307,8016354.315796261,0.3870813496769808,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,symbol,000090.SZ,-7067.255128679542,8016354.315796261,0.08816046360068548,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,symbol,000402.SZ,987.5454720210328,8016354.315796261,-0.012319134523221736,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,symbol,000523.SZ,-2102.538200072107,8016354.315796261,0.026228109652402045,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,symbol,000592.SZ,-2170.0119728801874,8016354.315796261,0.027069811131029593,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,symbol,000713.SZ,-209.15965498210423,8016354.315796261,0.0026091618052604564,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,symbol,000720.SZ,-6150.071221725535,8016354.315796261,0.07671905431633422,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,symbol,000798.SZ,3147.5166812151147,8016354.315796261,-0.039263692162569704,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,symbol,000882.SZ,-24331.44532307158,8016354.315796261,0.3035225785258314,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,symbol,000917.SZ,597.1274810137984,8016354.315796261,-0.007448865874567895,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,symbol,000953.SZ,-15761.8313752291,8016354.315796261,0.19662094206802141,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,symbol,001215.SZ,-5552.175603217409,8016354.315796261,0.0692606063117348,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,symbol,001223.SZ,344.33970995510754,8016354.315796261,-0.004295465200141973,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,symbol,001266.SZ,5459.070018695242,8016354.315796261,-0.06809916083596904,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,symbol,002168.SZ,-1382.2508326011484,8016354.315796261,0.0172428859572414,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,symbol,002175.SZ,-67.24274909622181,8016354.315796261,0.0008388195736772723,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,ANNUAL_LOCAL,2024-05-07,2024-09-25,symbol,002178.SZ,-9482.129058011422,8016354.315796261,0.11828480484360386,Additive contribution within the same actual portfolio peak-to-trough window; negative contribution offsets drawdown
