trade_date,decision_at,incremental_pnl,incremental_daily_return,incremental_capital_days,concentration,gross_after,current_account_drawdown,gross_before,state_trade_date,market_median_ret20,market_median_ret60,market_positive_ret20_share,market_positive_ret60_share,state_as_of,b20_l5,b20_l5_source_timestamp,market_regime,index_realized_vol20_prior,index_amount_prior,breadth_bucket,year,block,gap,mcb_mode,target,mechanic
2018-01-02,2018-01-02 09:30:00,0.0,0.0,0.0,0.006546572350738769,0.05686576692234374,0.0,0.05611143634601787,2017-12-29,-0.03179651714604009,-0.1259583789704274,0.30152979066022545,0.18552036199095023,2017-12-29 15:00:00,0.3083735909822866,2017-12-22 15:00:00,BEAR,0.15277981715380237,74243423703.0,MINORITY_POSITIVE_20D,2018,DISCOVERY,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2018-01-03,2018-01-03 09:30:00,1716.2899178406224,0.00034964209612640767,199318.0037265811,0.0309140629557457,0.2299363339622209,0.0,0.05686576692234374,2018-01-02,-0.004807692307692624,-0.13168724279835375,0.4587192911800242,0.1844380403458213,2018-01-02 15:00:00,0.3227491961414791,2017-12-25 15:00:00,BEAR,0.15438395095540114,83707133096.0,MINORITY_POSITIVE_20D,2018,DISCOVERY,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2018-01-04,2018-01-04 09:30:00,-36.506124504841864,-7.4836719361026476e-06,840590.1289910275,0.03053838000195342,0.22203818690785587,0.0,0.2299363339622209,2018-01-03,0.034246575342465446,-0.13505402160864366,0.7192771084337349,0.18219121871153057,2018-01-03 15:00:00,0.30237233614796943,2017-12-26 15:00:00,TRANSITION,0.12135527360530571,102536974169.0,MAJORITY_POSITIVE_20D,2018,DISCOVERY,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2018-01-05,2018-01-05 09:30:00,-450.0908927805722,-9.168108298149101e-05,667893.8578669785,0.022807382662428773,0.2444773566050267,0.0,0.22203818690785587,2018-01-04,0.023821098687409004,-0.1323941395478116,0.6642541214314435,0.1791290057518488,2018-01-04 15:00:00,0.2774869109947644,2017-12-27 15:00:00,TRANSITION,0.11711296748252627,100784812930.0,MAJORITY_POSITIVE_20D,2018,DISCOVERY,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2018-01-08,2018-01-08 09:30:00,-3003.698362002149,-0.000611280201905141,1828541.3439687577,0.01943752043890296,0.24481291113154663,0.0,0.2444773566050267,2018-01-05,0.025615763546798398,-0.12950450450450468,0.6725592607472881,0.18383258104226508,2018-01-05 15:00:00,0.309552599758162,2017-12-28 15:00:00,TRANSITION,0.1169855681916985,103063159904.0,MAJORITY_POSITIVE_20D,2018,DISCOVERY,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2018-01-09,2018-01-09 09:30:00,1802.6825764859095,0.0003675709943067083,530434.9014507625,0.019258241533942694,0.2454266324991539,0.0012348253737566317,0.24481291113154663,2018-01-08,0.010081951591385474,-0.13579212070410707,0.5806581059390048,0.17902498975829578,2018-01-08 15:00:00,0.30152979066022545,2017-12-29 15:00:00,TRANSITION,0.1130144422887095,108927482500.0,MAJORITY_POSITIVE_20D,2018,DISCOVERY,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2018-01-10,2018-01-10 09:30:00,-4491.601799038239,-0.000914695243074981,526013.1972156572,0.018700400165705712,0.2446583197035833,0.0004224941210377864,0.2454266324991539,2018-01-09,-1.6653345369377348e-16,-0.11523131832508454,0.4975903614457831,0.19983619983619982,2018-01-09 15:00:00,0.4587192911800242,2018-01-02 15:00:00,BEAR,0.10569645499999987,94406583340.00002,MINORITY_POSITIVE_20D,2018,DISCOVERY,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2018-01-11,2018-01-11 09:30:00,2413.5758512923494,0.0004931424951212704,501932.997622679,0.018600443255559054,0.24552569300325464,0.002505992773911503,0.2446583197035833,2018-01-10,0.0030190706908799214,-0.12432432432432416,0.5228548516439455,0.19631901840490798,2018-01-10 15:00:00,0.7192771084337349,2018-01-03 15:00:00,TRANSITION,0.10214042770754067,103132729868.0,MAJORITY_POSITIVE_20D,2018,DISCOVERY,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2018-01-12,2018-01-12 09:30:00,394.9721380295232,8.055526349629366e-05,504270.9414313985,0.01845570590911787,0.2456674455789271,0.001359234480850513,0.24552569300325464,2018-01-11,0.0032467532467530535,-0.1093762519820114,0.5274109643857543,0.20448979591836736,2018-01-11 15:00:00,0.6642541214314435,2018-01-04 15:00:00,TRANSITION,0.1013769366612118,100924157574.0,MAJORITY_POSITIVE_20D,2018,DISCOVERY,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2018-01-15,2018-01-15 09:30:00,-2251.3383042281494,-0.0004596694359659966,1417385.9402691806,0.11048630021767424,0.24765549071682907,0.0011715720236832317,0.2456674455789271,2018-01-12,-1.2212453270876722e-15,-0.10329154413661507,0.49419767907162865,0.21166394779771616,2018-01-12 15:00:00,0.6725592607472881,2018-01-05 15:00:00,BEAR,0.10423230665598661,96816230499.0,MINORITY_POSITIVE_20D,2018,DISCOVERY,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2018-01-16,2018-01-16 09:30:00,1265.7957060355693,0.0002602901688159489,95649.03257691767,0.11756924682965154,0.25109551754796067,0.0041395597592496225,0.24765549071682907,2018-01-15,-0.027548209366391574,-0.13818479149632057,0.3326669332267093,0.16809116809116809,2018-01-15 15:00:00,0.5806581059390048,2018-01-08 15:00:00,BEAR,0.14330413013000132,112357557863.0,MINORITY_POSITIVE_20D,2018,DISCOVERY,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2018-01-17,2018-01-17 09:30:00,72.58722072280943,1.4954360847688555e-05,153510.41186199524,0.1228558461781451,0.24847364884805828,0.0019440505284069598,0.25109551754796067,2018-01-16,-0.014710091579153983,-0.13844757149341802,0.4044764188649081,0.16442816442816444,2018-01-16 15:00:00,0.4975903614457831,2018-01-09 15:00:00,BEAR,0.14333654337298388,93053137560.0,MINORITY_POSITIVE_20D,2018,DISCOVERY,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2018-01-18,2018-01-18 09:30:00,2045.9752575978637,0.00041842058517877487,185570.60524550267,0.12419661279065747,0.24308570475287017,0.0016517440312707743,0.24847364884805828,2018-01-17,-0.017381867379377247,-0.12874251497005929,0.39,0.16578411405295315,2018-01-17 15:00:00,0.5228548516439455,2018-01-10 15:00:00,BEAR,0.14139957368090142,96289669774.0,MINORITY_POSITIVE_20D,2018,DISCOVERY,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2018-01-19,2018-01-19 09:30:00,-444.7378891641274,-9.045256697014055e-05,195563.77522671223,0.13142093038325187,0.24818144099965964,0.0,0.24308570475287017,2018-01-18,-0.005656108597285381,-0.1338797814207653,0.4597839135654262,0.16171079429735236,2018-01-18 15:00:00,0.5274109643857543,2018-01-11 15:00:00,BEAR,0.1373875486511909,76504568940.0,MINORITY_POSITIVE_20D,2018,DISCOVERY,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2018-01-22,2018-01-22 09:30:00,2477.441962817684,0.0005042925120197499,715919.6280085258,0.1319478047148736,0.25006923998354963,0.0003288902198795851,0.24818144099965964,2018-01-19,-0.006820119352089149,-0.13980391640265288,0.45625249700359566,0.1540650406504065,2018-01-19 15:00:00,0.49419767907162865,2018-01-12 15:00:00,BEAR,0.1373290399335905,82542650241.0,MINORITY_POSITIVE_20D,2018,DISCOVERY,OGR,independent,G25,FULL_BOOK_NORMALIZATION
2018-01-23,2018-01-23 09:30:00,2128.7958734994754,0.0004313673657936755,241808.02508331835,0.13369952523329767,0.25168509820345947,0.0,0.25006923998354963,2018-01-22,0.0024691960175827754,-0.12762520193861127,0.5196314102564102,0.16754993885038727,2018-01-22 15:00:00,0.3326669332267093,2018-01-15 15:00:00,TRANSITION,0.14339669500792473,91441691411.0,MAJORITY_POSITIVE_20D,2018,DISCOVERY,OGR,independent,G25,FULL_BOOK_NORMALIZATION
