strategy,item,legacy_status,status,source,source_sha256,evidence,resolution
ATRDR,universe,EXACT,EXACT,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/capital_scaling_v1/contracts/capital_scaling_policy_v1.json,ff8ce68bfbb7ce7d86e4fd8de8b2c3ff9a0154a227a6ce6ca0a72ef36df36576,EXACT_PARENT_MAIN_CHINEXT_ROUTE_ELIGIBILITY,SOURCE_IDENTICAL_OR_EXPLICIT_PROTOCOL_CARRY
ATRDR,eligibility,EXACT,EXACT,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/shared_capital_v1/stock_p0.py,2439763d3fcc7f1103dc2c7d8ba53c6e42e165d8cbd926541de383d0c8a1528c,Same frozen producer and physical adapter; temporal extension only,SOURCE_IDENTICAL_OR_EXPLICIT_PROTOCOL_CARRY
ATRDR,feature_source,BUG,EXACT,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/snapshot.py,c36640f61a13a84158edaec41de46d561b4850c10593e717dc9e43a14527ff83,"59,392 valid rows from 2026-08-14 had coarse taxonomy; restored original Eastmoney snapshot backward ASOF and rebuilt dependent features; original snapshot vintage carried after Aug 13",SOURCE_IDENTICAL_OR_EXPLICIT_PROTOCOL_CARRY
ATRDR,market_state,EXACT,EXACT,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/shared_capital_v1/stock_p0.py,2439763d3fcc7f1103dc2c7d8ba53c6e42e165d8cbd926541de383d0c8a1528c,Same frozen producer and physical adapter; temporal extension only,SOURCE_IDENTICAL_OR_EXPLICIT_PROTOCOL_CARRY
ATRDR,industry_state,BUG,EXACT,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/snapshot.py,c36640f61a13a84158edaec41de46d561b4850c10593e717dc9e43a14527ff83,"59,392 valid rows from 2026-08-14 had coarse taxonomy; restored original Eastmoney snapshot backward ASOF and rebuilt dependent features; original snapshot vintage carried after Aug 13",SOURCE_IDENTICAL_OR_EXPLICIT_PROTOCOL_CARRY
ATRDR,costs,EXACT,EXACT,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/capital_scaling_v1/contracts/capital_scaling_policy_v1.json,ff8ce68bfbb7ce7d86e4fd8de8b2c3ff9a0154a227a6ce6ca0a72ef36df36576,"Stock fractional shares 20bp/side; ETF 100-share lot, 2bp commission + 8bp slippage, 50% per-order minute volume cap",SOURCE_IDENTICAL_OR_EXPLICIT_PROTOCOL_CARRY
ATRDR,execution_timing,EXACT,EXACT,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/shared_capital_v1/stock_p0.py,2439763d3fcc7f1103dc2c7d8ba53c6e42e165d8cbd926541de383d0c8a1528c,Same frozen producer and physical adapter; temporal extension only,SOURCE_IDENTICAL_OR_EXPLICIT_PROTOCOL_CARRY
ATRDR,position_membership,EXACT,EXACT,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/shared_capital_v1/stock_p0.py,2439763d3fcc7f1103dc2c7d8ba53c6e42e165d8cbd926541de383d0c8a1528c,Same frozen producer and physical adapter; temporal extension only,SOURCE_IDENTICAL_OR_EXPLICIT_PROTOCOL_CARRY
ATRDR,cooldown,EXACT,EXACT,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/shared_capital_v1/stock_p0.py,2439763d3fcc7f1103dc2c7d8ba53c6e42e165d8cbd926541de383d0c8a1528c,Same frozen producer and physical adapter; temporal extension only,SOURCE_IDENTICAL_OR_EXPLICIT_PROTOCOL_CARRY
ATRDR,native_exit,EXACT,EXACT,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/shared_capital_v1/stock_p0.py,2439763d3fcc7f1103dc2c7d8ba53c6e42e165d8cbd926541de383d0c8a1528c,Same frozen producer and physical adapter; temporal extension only,SOURCE_IDENTICAL_OR_EXPLICIT_PROTOCOL_CARRY
