route,status,old_definition,v3_difference,evidence,universe,execution,control
D00,PARTIAL_OVERLAP,"V2 N1 LONG_TT, RS, T+1 limit, E10","Signal inherited exactly; V3 account capacity, costs and capital modes differ",inherited/prepare.py and replay.py hash snapshots,historical ordinary SH/SZ; ST excluded at signal; inherited history gate,next legal modeled price; physical cash,registered matched baseline
D01,PARTIAL_OVERLAP,V2 N3 dynamic VCP,Same inherited signal; new V3 account mechanics,inherited/prepare.py,historical ordinary SH/SZ; ST excluded at signal; inherited history gate,next legal modeled price; physical cash,registered matched baseline
D02,PARTIAL_OVERLAP,V2 N4 dynamic VCP + Path,Same inherited signal; new capital/market/risk/policy comparisons,inherited/prepare.py,historical ordinary SH/SZ; ST excluded at signal; inherited history gate,next legal modeled price; physical cash,registered matched baseline
D03,DISTINCT_QUESTION,"Trend path/momentum, MA recovery",Strong EMA9/21/50 state then past peak pullback then recovery; no prior gap requirement,research/market_behavior_os_v2/reports/HAB-CHX-RANK-INFO-001_information_scan.md,historical ordinary SH/SZ; ST excluded at signal; inherited history gate,next legal modeled price; physical cash,registered matched baseline
D04,DISTINCT_QUESTION,Low volatility and price support,D03 matched-anchor affine AVWAP; data support separated,D03 and inherited VCP static-width controls,historical ordinary SH/SZ; ST excluded at signal; inherited history gate,next legal modeled price; physical cash,registered matched baseline
D05,PARTIAL_OVERLAP,Historical support and gap reclaim,Prior 20d breakout level near rising EMA21; neither first gap reclaim nor deep decline reversal,research/market_behavior_os_v2/reports/ASHARE-DOWN-GAP-FIRST-RECLAIM-V1_report.md,historical ordinary SH/SZ; ST excluded at signal; inherited history gate,next legal modeled price; physical cash,registered matched baseline
D06,PARTIAL_OVERLAP,Deep decline and first reversal,"Prior low, prior rebound, five-day narrow base; no 200-day mature-trend condition",research/market_behavior_os_v2/reports/ASHARE-TRUE-GAP-BELOW-L-FIRST-REVERSAL-V13_report.md,historical ordinary SH/SZ; ST excluded at signal; inherited history gate,next legal modeled price; physical cash,registered matched baseline
D07,DISTINCT_QUESTION,First reclaim / mean-average pullback,Parent D06 -> extension -> first EMA20 retest -> recovery; no new parent resetting,research/market_behavior_os_v2/reports/ASHARE-DOWN-GAP-FIRST-RECLAIM-V1_report.md,historical ordinary SH/SZ; ST excluded at signal; inherited history gate,next legal modeled price; physical cash,registered matched baseline
D08,DISTINCT_QUESTION,Ordinary breakout,Requires actual D06 parent and subsequent continuation before ten-day base,research/market_behavior_os_v2/reports/ASHARE-EVIDENCE-DEPTH-CYCLE-010_report.md,historical ordinary SH/SZ; ST excluded at signal; inherited history gate,next legal modeled price; physical cash,registered matched baseline
D09,DISTINCT_QUESTION,V2 N4 breakout and tail/overnight,Before-breakout daily trigger; all fixed episodes including no later breakout,research/market_behavior_os_v2/reports/ASHARE-TAIL-OPEN-LGBM-V1_translation_diagnostic.md,historical ordinary SH/SZ; ST excluded at signal; inherited history gate,next legal modeled price; physical cash,registered matched baseline
H01,DISTINCT_QUESTION,V2 N4 and trend pullback,D02 parent must first continue; never-retesting parents retained,inherited/prepare.py,historical ordinary SH/SZ; ST excluded at signal; inherited history gate,next legal modeled price; physical cash,registered matched baseline
H02,PARTIAL_OVERLAP,Path + support ranking,"Exactly D05 admission, only pre-parent 30-day path ranking changes",research/market_behavior_os_v2/reports/HAB-CHX-RANK-INFO-001_information_scan.md,historical ordinary SH/SZ; ST excluded at signal; inherited history gate,next legal modeled price; physical cash,registered matched baseline
G,PARTIAL_OVERLAP,Breadth opportunity/conversion,Fixed single broad-index SMA gate/ramp; cash contribution separated,research/chinext_v1/regime_attribution/reports/phase5_breadth_opportunity_conversion.md,historical ordinary SH/SZ; ST excluded at signal; inherited history gate,next legal modeled price; physical cash,registered matched baseline
Q4,DISTINCT_QUESTION,Intraday gap reclaim and tail/open machine-learning model,Morning impulse then afternoon 30-minute flag at 14:25; T+1/E3 exits,research/market_behavior_os_v2/reports/ASHARE-TAIL-OPEN-LGBM-V1_translation_diagnostic.md,historical ordinary SH/SZ; ST excluded at signal; inherited history gate,next legal modeled price; physical cash,registered matched baseline
Q5,PARTIAL_OVERLAP,Industry diffusion + Weekly Low-MAX,PIT leave-one-out RS60 only after inherited D02 signal; no weekly Low-MAX gate,research/market_behavior_os_v2/reports/ASHARE-LOW-MAX-CONFIRMATION-CYCLE-012_report.md,historical ordinary SH/SZ; ST excluded at signal; inherited history gate,next legal modeled price; physical cash,registered matched baseline
