route,period,case_ids,chart_type,outcome_labels_visible,future_path_visible,viewed_before_hypothesis_freeze,purpose,exposure_status,image_path,image_sha256,viewed_at
ATRDR_BULL,DISCOVERY,AGGREGATE_ONLY,PRIOR_FIXED_STOP_RESPONSE,True,False,True,PRIOR_V2_RESULTS,RESULT_EXPOSED,/Users/linmei/Documents/CY-worktrees/five-strategy-exit-risk-v1/research/five_strategy_exit_risk_v1/figures/fixed_stop_response.png,,
ATRDR_BULL,TEMPORAL_EVALUATION,AGGREGATE_ONLY,PRIOR_FIXED_STOP_RESPONSE,True,False,True,PRIOR_V2_RESULTS,RESULT_EXPOSED,/Users/linmei/Documents/CY-worktrees/five-strategy-exit-risk-v1/research/five_strategy_exit_risk_v1/figures/fixed_stop_response.png,,
ATRDR_FAST_BEAR,DISCOVERY,AGGREGATE_ONLY,PRIOR_FIXED_STOP_RESPONSE,True,False,True,PRIOR_V2_RESULTS,RESULT_EXPOSED,/Users/linmei/Documents/CY-worktrees/five-strategy-exit-risk-v1/research/five_strategy_exit_risk_v1/figures/fixed_stop_response.png,,
ATRDR_FAST_BEAR,TEMPORAL_EVALUATION,AGGREGATE_ONLY,PRIOR_FIXED_STOP_RESPONSE,True,False,True,PRIOR_V2_RESULTS,RESULT_EXPOSED,/Users/linmei/Documents/CY-worktrees/five-strategy-exit-risk-v1/research/five_strategy_exit_risk_v1/figures/fixed_stop_response.png,,
ATRDR_SLOW_BEAR,DISCOVERY,AGGREGATE_ONLY,PRIOR_FIXED_STOP_RESPONSE,True,False,True,PRIOR_V2_RESULTS,RESULT_EXPOSED,/Users/linmei/Documents/CY-worktrees/five-strategy-exit-risk-v1/research/five_strategy_exit_risk_v1/figures/fixed_stop_response.png,,
ATRDR_SLOW_BEAR,TEMPORAL_EVALUATION,AGGREGATE_ONLY,PRIOR_FIXED_STOP_RESPONSE,True,False,True,PRIOR_V2_RESULTS,RESULT_EXPOSED,/Users/linmei/Documents/CY-worktrees/five-strategy-exit-risk-v1/research/five_strategy_exit_risk_v1/figures/fixed_stop_response.png,,
MCB,DISCOVERY,AGGREGATE_ONLY,PRIOR_FIXED_STOP_RESPONSE,True,False,True,PRIOR_V2_RESULTS,RESULT_EXPOSED,/Users/linmei/Documents/CY-worktrees/five-strategy-exit-risk-v1/research/five_strategy_exit_risk_v1/figures/fixed_stop_response.png,,
MCB,TEMPORAL_EVALUATION,AGGREGATE_ONLY,PRIOR_FIXED_STOP_RESPONSE,True,False,True,PRIOR_V2_RESULTS,RESULT_EXPOSED,/Users/linmei/Documents/CY-worktrees/five-strategy-exit-risk-v1/research/five_strategy_exit_risk_v1/figures/fixed_stop_response.png,,
OGR,DISCOVERY,AGGREGATE_ONLY,PRIOR_FIXED_STOP_RESPONSE,True,False,True,PRIOR_V2_RESULTS,RESULT_EXPOSED,/Users/linmei/Documents/CY-worktrees/five-strategy-exit-risk-v1/research/five_strategy_exit_risk_v1/figures/fixed_stop_response.png,,
OGR,TEMPORAL_EVALUATION,AGGREGATE_ONLY,PRIOR_FIXED_STOP_RESPONSE,True,False,True,PRIOR_V2_RESULTS,RESULT_EXPOSED,/Users/linmei/Documents/CY-worktrees/five-strategy-exit-risk-v1/research/five_strategy_exit_risk_v1/figures/fixed_stop_response.png,,
