VISUAL_MOTIF_ID,ROUTE,OBSERVATION_TIME,DESCRIPTION,ECONOMIC_INTERPRETATION,FEATURE_FAMILIES_INVOLVED,SUPPORTING_CASE_IDS,COUNTEREXAMPLE_CASE_IDS,ALTERNATIVE_EXPLANATION,POSSIBLE_QUANTIFICATION,DECISION,AVAILABLE_AT_CHECK,CONFIDENCE,EVIDENCE_SCOPE,recorded_at
VM_BULL_GIVEBACK,ATRDR_BULL,age5,反弹后的给回看起来较弱，但第一组同样低收盘与给回的案例未来相反。,推进没有保持这一价格描述,MFE|giveback|price_path,CASE_33334|CASE_68481,CASE_69928|CASE_26626,正常回踩后可能再次上行；MFE和giveback已经在B0中。,不新增表示；既有mfe_sofar与giveback,REJECT,PASS_PREFIX_ONLY; postmortem observations never predictive validation,LOW_HYPOTHESIS_ONLY,DISCOVERY_GENERATED_AFTER_CASE_BLIND_ROUND; prior route results exposed,2026-09-07T17:03:40.871476+08:00
VM_FAST_RECOVERY,ATRDR_FAST_BEAR,age3,持续低收盘与最近三日恢复程度可能区分部分同亏损状态，单凭跌速变缓不足以判断。,仅把短期推进/恢复作为可证伪价格状态,close_location|price_sequence,CASE_51382|CASE_67658,CASE_20147|CASE_91313,下跌中的暂停可能继续恶化；陡跌也可能反弹。,close_location_mean3|recovery_3,KEEP_FOR_TEST,PASS_PREFIX_ONLY; postmortem observations never predictive validation,LOW_HYPOTHESIS_ONLY,DISCOVERY_GENERATED_AFTER_CASE_BLIND_ROUND; prior route results exposed,2026-09-07T17:03:40.871476+08:00
VM_SLOW_VOLUME,ATRDR_SLOW_BEAR,age5; postmortem discovery only,一组匹配样本的下降后段相对量增加，另一个缩量；完整路径也存在放量后恢复反例。,成交活跃程度与下跌同时出现；不推断参与者身份或资金方向,volume|close_location|price_sequence,CASE_69097|POST_04E570EE,POST_063FB674|CASE_49233,成交量增加也可能出现在随后恢复的低位；入场日量归一化会影响观感。,close_location_mean3|recovery_3|down_volume_mean3,KEEP_FOR_TEST,PASS_PREFIX_ONLY; postmortem observations never predictive validation,LOW_HYPOTHESIS_ONLY,DISCOVERY_GENERATED_AFTER_CASE_BLIND_ROUND; prior route results exposed,2026-09-07T17:03:40.871476+08:00
VM_SLOW_REBOUND_STORY,ATRDR_SLOW_BEAR,age4,小反弹并未稳定区分后续恢复，低MFE横盘也可能成为赢家。,短期反弹不是失败解除的证明,price_path,CASE_53759,CASE_44279|CASE_49233,反弹可短暂，未反弹也可能只是尚未启动。,不新增表示,REJECT,PASS_PREFIX_ONLY; postmortem observations never predictive validation,LOW_HYPOTHESIS_ONLY,DISCOVERY_GENERATED_AFTER_CASE_BLIND_ROUND; prior route results exposed,2026-09-07T17:03:40.871476+08:00
VM_MCB_CLOSE,MCB,age3 and age5,收盘路径相似时，盘中高点未保持和最近连续收盘位置可能有区别，但该区别部分已体现在MFE。,用连续收盘区间位置检查额外价格信息,close_location|price_sequence,CASE_27120|CASE_93625,CASE_18952|CASE_39666,单日上方区间也可能是波动噪声；低位收盘之后可恢复。,close_location_mean3|recovery_3,KEEP_FOR_TEST,PASS_PREFIX_ONLY; postmortem observations never predictive validation,LOW_HYPOTHESIS_ONLY,DISCOVERY_GENERATED_AFTER_CASE_BLIND_ROUND; prior route results exposed,2026-09-07T17:03:40.871476+08:00
VM_MCB_ANCHOR,MCB,age3 and age5,锚点接近或轻微跌破，使原先价格排序变成并列，而没有得到更清楚的区分。,结构位置有含义这一故事没有获得视觉支持,anchor,CASE_27120,CASE_18952|CASE_39666,锚点位置因信号结构不同；单次跌破不是可预测失败。,不增加规则或阈值,REJECT,PASS_PREFIX_ONLY; postmortem observations never predictive validation,LOW_HYPOTHESIS_ONLY,DISCOVERY_GENERATED_AFTER_CASE_BLIND_ROUND; prior route results exposed,2026-09-07T17:03:40.871476+08:00
VM_OGR_RECOVERY,OGR,age4 and age7,一组近期反弹较持续的案例恢复获利，另一组持续下跌案例同样后来获利。,仅检验最近恢复与收盘位置是否增加条件信息,close_location|price_sequence,CASE_31654|CASE_84370,CASE_09581|CASE_97306,原生目标、事件时间和正常回撤可解释同样路径；不可凭反弹选择退出。,close_location_mean3|recovery_3,KEEP_FOR_TEST,PASS_PREFIX_ONLY; postmortem observations never predictive validation,LOW_HYPOTHESIS_ONLY,DISCOVERY_GENERATED_AFTER_CASE_BLIND_ROUND; prior route results exposed,2026-09-07T17:03:40.871476+08:00
VM_OGR_ANCHOR,OGR,age4..7 and postmortem,匿名样本多数尚在登记锚点上方，完整路径的赢家也曾在锚点附近或下方运行。,没有观察到可直接推广的结构失败边界,anchor,POST_B0A0C692,POST_B5690DC4|POST_B11A1340,同一结构附近可有不同未来，目标兑现时间并非图形能确定。,不增加规则或阈值,REJECT,PASS_PREFIX_ONLY; postmortem observations never predictive validation,LOW_HYPOTHESIS_ONLY,DISCOVERY_GENERATED_AFTER_CASE_BLIND_ROUND; prior route results exposed,2026-09-07T17:03:40.871476+08:00
VM_SMV6_RS,SMV6,age4,相对基准较弱的样本使价格排序失去确定性，但该样本后来大幅获利。,短期相对弱势可由ETF暴露差异而非退出价值解释,relative_strength,CASE_16196,CASE_16196|CASE_34998,基准和ETF的暴露不同；几天相对收益既小又可能均值回归。,不进入量化筛选；不为失败故事继续扩充RS指标,REJECT,PASS_PREFIX_ONLY; postmortem observations never predictive validation,LOW_HYPOTHESIS_ONLY,DISCOVERY_GENERATED_AFTER_CASE_BLIND_ROUND; prior route results exposed,2026-09-07T17:03:40.871476+08:00
VM_SMV6_CRITICAL_BARS,SMV6,age4,尾盘关键bar变化都在零附近，且一笔有缺失；未来相反样本没有稳定可见差别。,现有少量分钟摘要未给出清晰额外状态,intraday_summary,CASE_03919|CASE_67244,CASE_03919|CASE_67244,小幅ETF价格变化与缺失使视觉分辨力有限；不能推广为全部分钟信息无效。,不新增分钟表示或下载,REJECT,PASS_PREFIX_ONLY; postmortem observations never predictive validation,LOW_HYPOTHESIS_ONLY,DISCOVERY_GENERATED_AFTER_CASE_BLIND_ROUND; prior route results exposed,2026-09-07T17:03:40.871476+08:00
