route,case_id,variant,observation,relative_failure_score,confidence,alternative_explanation,information_changed_judgment,recorded_at
ATRDR_BULL,CASE_68481,price_only,前两日小幅上升，随后连续三次收盘降低，当前接近已见低点。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751726+08:00
ATRDR_BULL,CASE_69928,price_only,短暂收回入场价后再次降低，终点与配对样本几乎相同；无法可靠区分。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751742+08:00
ATRDR_BULL,CASE_26626,price_only,反复上下波动，最新一日从较低收盘反弹，但没有收回入场价。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751747+08:00
ATRDR_BULL,CASE_33334,price_only,先明显反弹到入场价之上，再快速回落；当前反弹不足以收回前次涨幅。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751750+08:00
ATRDR_FAST_BEAR,CASE_20147,price_only,早期大幅下跌后收盘跌幅缩小，仍缓慢降低；不是已经恢复。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751753+08:00
ATRDR_FAST_BEAR,CASE_91313,price_only,连续收盘降低且最后一段更陡，终点接近当日低位。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751756+08:00
ATRDR_FAST_BEAR,CASE_51382,price_only,入场日走弱后连续小幅收复，收盘靠近各日区间上部。,0,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751759+08:00
ATRDR_FAST_BEAR,CASE_67658,price_only,反弹曾收回入场价，但最新收盘重新跌回其下；日内区间较宽。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751762+08:00
ATRDR_SLOW_BEAR,CASE_53759,price_only,早期低点后低幅横向运行，末日回落，但尚未显著刷新早期MAE。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751765+08:00
ATRDR_SLOW_BEAR,CASE_69097,price_only,多日缓慢降低，末日同时形成更低收盘和新的已见低点。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751768+08:00
ATRDR_SLOW_BEAR,CASE_44279,price_only,连续回落后最新收盘有所抬升；给回幅度下降。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751771+08:00
ATRDR_SLOW_BEAR,CASE_49233,price_only,一直没有站回入场价，短反弹后又降低；缺少可见推进。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751773+08:00
MCB,CASE_18952,price_only,先升后落并跌回入场价以下；与配对的收盘路径难区分。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751776+08:00
MCB,CASE_27120,price_only,与配对收盘路径相似，但第二日上影更长，盘中高位没有保持。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751779+08:00
MCB,CASE_39666,price_only,初期入场价下方窄幅横盘，随后下降，最新收盘趋平。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751782+08:00
MCB,CASE_93625,price_only,短暂回到入场价后再度下降，最新收盘接近已见低点。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751785+08:00
OGR,CASE_31654,price_only,持续回落后最近两日反弹，仍亏损但收盘开始远离近期低点。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751788+08:00
OGR,CASE_84370,price_only,早期反弹接近入场价后连续回落，恢复没有维持。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751791+08:00
OGR,CASE_09581,price_only,几乎连续降低，最新收盘接近当日低位；没有持续反弹。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751793+08:00
OGR,CASE_97306,price_only,入场当日已显著低于成本，之后小幅横向抬升，末日回落。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751796+08:00
SMV6,CASE_03919,price_only,早期回落后逐日小幅恢复，短历史不足以确认持续性。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751799+08:00
SMV6,CASE_67244,price_only,较晚回落后最新反弹，与配对同为浅亏损恢复；无法可靠区分。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751801+08:00
SMV6,CASE_16196,price_only,小幅上涨后回到入场价下方并横向运行。,1,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751804+08:00
SMV6,CASE_34998,price_only,浅幅来回后最新收盘走低，幅度很小，判断依据薄弱。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,INITIAL,2026-09-07T16:52:04.751807+08:00
ATRDR_BULL,CASE_68481,price_volume,下降阶段量缩到入场日约一半，没有持续放量下跌。,2,LOW_DESCRIPTIVE_ONLY,短路径上的随机波动或均值回归；不是卖出建议,NO_RANK_CHANGE,2026-09-07T16:53:01.282426+08:00
