trade_id,baseline_block,symbol,entry_signal_date,entry_year,available_at_timestamp,daily_snapshot_id,minimum_volume_index_0_29,sessions_since_minimum_volume,minimum_volume_tie_count,minimum_volume_ratio,minimum_volume_location,anchor_close,anchor_low,post_anchor_min_close_log_distance,post_anchor_min_low_log_distance,low_support_held,close_support_held_neighbor
DEVELOPMENT_2024_2025:300001.SZ-001,DEVELOPMENT_2024_2025,300001.SZ,2025-02-11,2025,2025-02-11T15:00:00,PITB-80B916173F29877FD683,15,14,1,0.5492464583,0.0762942779292,1.33784254248,1.32679673227,0.0506617205331,0.00585939176389,True,True
DEVELOPMENT_2024_2025:300003.SZ-001,DEVELOPMENT_2024_2025,300003.SZ,2024-05-09,2024,2024-05-09T15:00:00,PITB-80B916173F29877FD683,13,16,1,0.469726350793,0.203703703704,0.597794018453,0.596479222225,-0.0244910200083,-0.0528026118048,False,False
DEVELOPMENT_2024_2025:300003.SZ-002,DEVELOPMENT_2024_2025,300003.SZ,2025-06-04,2025,2025-06-04T15:00:00,PITB-80B916173F29877FD683,8,21,1,0.551172693866,0.388888888889,0.504867199566,0.501228517047,0.00180018050415,0.00362319236942,True,True
DEVELOPMENT_2024_2025:300009.SZ-001,DEVELOPMENT_2024_2025,300009.SZ,2025-05-29,2025,2025-05-29T15:00:00,PITB-80B916173F29877FD683,16,13,1,0.381859152109,0.260058332334,0.90353182417,0.902435304966,0.0108631122574,0.0012143292324,True,True
DEVELOPMENT_2024_2025:300014.SZ-001,DEVELOPMENT_2024_2025,300014.SZ,2025-03-03,2025,2025-03-03T15:00:00,PITB-80B916173F29877FD683,1,28,1,0.430066727461,0.140461215933,0.500101209928,0.490459305068,-0.0156856780336,-0.00522442413681,False,False
DEVELOPMENT_2024_2025:300033.SZ-001,DEVELOPMENT_2024_2025,300033.SZ,2024-09-24,2024,2024-09-24T15:00:00,PITB-80B916173F29877FD683,13,16,1,0.599351015668,0.0611764705882,1.00408317762,0.986209445659,0.0126939588199,0.0127120355884,True,True
DEVELOPMENT_2024_2025:300035.SZ-001,DEVELOPMENT_2024_2025,300035.SZ,2025-02-27,2025,2025-02-27T15:00:00,PITB-80B916173F29877FD683,2,27,1,0.368259261742,0.085020242915,0.663138650702,0.663138650702,-0.0157957402276,-0.0303053494953,False,False
DEVELOPMENT_2024_2025:300035.SZ-002,DEVELOPMENT_2024_2025,300035.SZ,2025-08-29,2025,2025-08-29T15:00:00,PITB-80B916173F29877FD683,15,14,1,0.440011871952,0.170634920635,0.833384517536,0.830363183938,0.0592374863839,0.0144493784272,True,True
DEVELOPMENT_2024_2025:300043.SZ-001,DEVELOPMENT_2024_2025,300043.SZ,2024-08-30,2024,2024-08-30T15:00:00,PITB-80B916173F29877FD683,17,12,1,0.381677536539,0.243243243243,0.759868421053,0.740131578947,-0.0218827112495,-0.0179377006867,False,False
DEVELOPMENT_2024_2025:300054.SZ-001,DEVELOPMENT_2024_2025,300054.SZ,2024-04-26,2024,2024-04-26T15:00:00,PITB-80B916173F29877FD683,20,9,1,0.558059851262,0.149038461538,0.94070103415,0.937938329204,-0.015290063598,-0.0143389354152,False,False
DEVELOPMENT_2024_2025:300057.SZ-001,DEVELOPMENT_2024_2025,300057.SZ,2025-06-23,2025,2025-06-23T15:00:00,PITB-80B916173F29877FD683,5,24,1,0.623615205378,0.152173913043,0.517123224878,0.512768502984,-0.014846508117,-0.0106724598908,False,False
DEVELOPMENT_2024_2025:300072.SZ-001,DEVELOPMENT_2024_2025,300072.SZ,2025-06-23,2025,2025-06-23T15:00:00,PITB-80B916173F29877FD683,5,24,1,0.506973591959,0.137931034483,0.692840646651,0.688221709007,-0.0134230203321,-0.00673403218134,False,False
DEVELOPMENT_2024_2025:300092.SZ-001,DEVELOPMENT_2024_2025,300092.SZ,2025-03-17,2025,2025-03-17T15:00:00,PITB-80B916173F29877FD683,2,27,1,0.500773800404,0.0522388059701,0.86646222715,0.855950553684,0.0034602110649,0.0035026305512,True,True
DEVELOPMENT_2024_2025:300092.SZ-002,DEVELOPMENT_2024_2025,300092.SZ,2025-09-02,2025,2025-09-02T15:00:00,PITB-80B916173F29877FD683,8,21,1,0.464043627587,0.322784810127,1.01496147994,1.00271458425,-0.0392207131533,-0.0549157575961,False,False
DEVELOPMENT_2024_2025:300119.SZ-001,DEVELOPMENT_2024_2025,300119.SZ,2024-04-30,2024,2024-04-30T15:00:00,PITB-80B916173F29877FD683,0,29,1,0.543029014429,0.194331983806,0.779162962963,0.76397037037,-0.0339976085414,-0.0266298571557,False,False
DEVELOPMENT_2024_2025:300128.SZ-001,DEVELOPMENT_2024_2025,300128.SZ,2024-09-25,2024,2024-09-25T15:00:00,PITB-80B916173F29877FD683,27,2,1,0.290631608975,0.351351351351,0.90782122905,0.899441340782,0.00613498856752,0.00310077767825,True,True
DEVELOPMENT_2024_2025:300138.SZ-001,DEVELOPMENT_2024_2025,300138.SZ,2025-06-18,2025,2025-06-18T15:00:00,PITB-80B916173F29877FD683,25,4,1,0.503645898189,0.339130434783,0.657471974444,0.656884421294,-0.0354743881937,-0.0355066884569,False,False
DEVELOPMENT_2024_2025:300138.SZ-002,DEVELOPMENT_2024_2025,300138.SZ,2025-06-24,2025,2025-06-24T15:00:00,PITB-80B916173F29877FD683,21,8,1,0.510031861452,0.268965517241,0.657471974444,0.656884421294,-0.0354743881937,-0.0355066884569,False,False
DEVELOPMENT_2024_2025:300142.SZ-001,DEVELOPMENT_2024_2025,300142.SZ,2025-07-24,2025,2025-07-24T15:00:00,PITB-80B916173F29877FD683,2,27,1,0.492817834214,0,0.254401249444,0.251894833194,0.0281708769667,0.00891536365795,True,True
DEVELOPMENT_2024_2025:300171.SZ-001,DEVELOPMENT_2024_2025,300171.SZ,2025-10-28,2025,2025-10-28T15:00:00,PITB-80B916173F29877FD683,5,24,1,0.551297149722,0.354006427733,0.577226951167,0.576012588717,-0.0277301806594,-0.0467542899712,False,False
DEVELOPMENT_2024_2025:300182.SZ-001,DEVELOPMENT_2024_2025,300182.SZ,2024-09-24,2024,2024-09-24T15:00:00,PITB-80B916173F29877FD683,2,27,1,0.38709314841,0.0943396226415,0.78354978355,0.768398268398,-0.0139084300461,2.22044604925e-16,True,False
DEVELOPMENT_2024_2025:300195.SZ-001,DEVELOPMENT_2024_2025,300195.SZ,2025-11-06,2025,2025-11-06T15:00:00,PITB-80B916173F29877FD683,20,9,1,0.550405778896,0.470149253731,1.44363636364,1.40545454545,-0.00505051578607,0.015404669195,True,False
