predicate,production_dependency,source,expression,fail_closed,total_rows,evaluated_rows,pass_rows,fail_rows,not_evaluated_rows,pass_rate_among_evaluated,notes
frozen_research_valid,INDIRECT_PANEL_INPUT,lifecycle_ledger.build_frozen_v3_panel,v.research_valid AS chip_input_valid; v.research_valid AS state_chain_valid,YES,121251,121251,120472,779,0,0.9935753107190869,Feeds pre_chain_valid; not itself a named lifecycle gate.
frozen_hard_valid,NOT_CONSUMED_BY_SETUP_REPLAY,daily_feature_candidate.parquet / lifecycle_ledger.build_frozen_v3_panel,"frozen v.hard_valid exists, but adapter sets daily_hard_valid=false and production research_hard_valid uses pre_chain_valid",N/A,121251,121251,0,121251,0,0.0,All rows false because UNKNOWN_COST_PRESENT; this is not LifecycleObservation.hard_valid.
UNKNOWN_COST_PRESENT_absent,NOT_DIRECT,daily_feature_candidate.quality_reason_codes / signals.observation_from_record,UNKNOWN_COST_PRESENT not in quality_reason_codes,NO,121251,121251,0,121251,0,0.0,"Known-cost fraction availability, not the raw reason code, is consumed by production."
known_cost_fraction_available_and_bounded,DIRECT_COMPONENT_OF_PRE_CHAIN_AND_OBSERVATION_HARD_VALID,panel._create_panel_table / signals.observation_from_record,known_cost_fraction_min IS NOT NULL AND BETWEEN 0 AND 1,YES,121251,121251,121251,0,0,1.0,All frozen rows have a bounded known-cost fraction despite UNKNOWN_COST_PRESENT.
peak_track_id_present,DIRECT_COMPONENT_OF_PRE_CHAIN_AND_PEAK_IDENTITY,panel._create_panel_table / LifecycleObservation.peak_identity_valid,peak_track_id IS NOT NULL,YES,121251,121251,41619,79632,0,0.3432466536358463,Current canonical rolling-base identity availability.
peak_track_not_ambiguous,DIRECT_COMPONENT_OF_PRE_CHAIN_AND_PEAK_IDENTITY,panel._create_panel_table / LifecycleObservation.peak_identity_valid,NOT peak_track_ambiguous,YES,121251,121251,41619,79632,0,0.3432466536358463,All rows without a current tracked base are marked ambiguous by the frozen contract.
peak_track_no_split,DIRECT_COMPONENT_OF_PRE_CHAIN,panel._create_panel_table,NOT peak_track_split,YES,121251,121251,110750,10501,0,0.9133945287049179,Not repeated in LifecycleObservation.peak_identity_valid; already folded into research_hard_valid.
peak_track_no_merge,DIRECT_COMPONENT_OF_PRE_CHAIN,panel._create_panel_table,NOT peak_track_merge,YES,121251,121251,106747,14504,0,0.880380367996965,Not repeated in LifecycleObservation.peak_identity_valid; already folded into research_hard_valid.
peak_track_no_lost,DIRECT_COMPONENT_OF_PRE_CHAIN,panel._create_panel_table,NOT peak_track_lost,YES,121251,121251,101041,20210,0,0.8333209623013419,Not repeated in LifecycleObservation.peak_identity_valid; already folded into research_hard_valid.
strict_temporal_valid,DIRECT_COMPOSITE_OF_PRE_CHAIN,panel._create_panel_table; Reverse Wave V2 canonical diagnostic,peak id present AND not ambiguous/split/merge/lost,YES,121251,121251,36219,85032,0,0.2987109384664869,Version and band-shape checks are additionally enforced by production.
production_gate:corporate_action_clear,DIRECT_BLOCKING_GATE,LifecycleMachine.advance/_advance_open,observed == false,YES,121251,121251,121192,59,0,0.9995134060750015,Gate order 0.
production_gate:hard_valid,DIRECT_BLOCKING_GATE,LifecycleMachine.advance/_advance_open,observed == true,YES,121251,121251,27736,93515,0,0.2287486288772876,"Gate order 1; this is the derived LifecycleObservation value, not frozen hard_valid."
production_gate:peak_identity_valid,DIRECT_BLOCKING_GATE,LifecycleObservation.peak_identity_valid,observed == true,YES,121251,121251,41619,79632,0,0.3432466536358463,Gate order 2; evaluated even if hard_valid failed.
production_gate:tradable,DIRECT_BLOCKING_GATE_AFTER_VALIDITY,LifecycleMachine.advance,observed == true,YES,121251,27736,27326,410,93515,0.9852177675223536,Evaluated only after all validity gates pass.
production_gate:cooldown_complete,DIRECT_BLOCKING_GATE_IF_COOLDOWN_ACTIVE,LifecycleMachine.advance,memory.cooldown_remaining == 0,YES,121251,0,0,0,121251,,Only emitted on a failing active cooldown; zero occurrences.
production_gate:setup_score,DIRECT_BLOCKING_GATE_IN_NEUTRAL_OR_BROKEN,LifecycleMachine.advance,observed >= 1.0,YES,121251,27317,1,27316,93934,3.6607240912252445e-05,Evaluated only in a new-setup-capable lifecycle state.
