module,status,prior_definition,difference,evidence
LONG_TT,PARTIAL_OVERLAP,monthly 6/9/12m momentum 2018-2023 full market,dual anchor SMA TT then 30d consolidation then open limit,research/market_behavior_os_v2/reports/ASHARE-EVIDENCE-DEPTH-CYCLE-010_report.md
PATH,PARTIAL_OVERLAP,CHINEXT direction efficiency risk path candidate scan,P1 drawdown burden plus P2 positive-day concentration separate A,research/market_behavior_os_v2/reports/HAB-CHX-RANK-INFO-001_information_scan.md
VCP,NEW_TESTABLE_QUESTION,static box width and support/recovery representations,causal 2-left 2-right alternating confirmed contracting drawdown legs,research/market_behavior_os_v2/DEAD_ENDS.md
MR,PARTIAL_OVERLAP,RS acceleration and shared market attribution,pre-window frozen beta residual on market down days,research/market_behavior_os_v2/reports/HAB-CHX-RANK-INFO-001_information_scan.md
GATE,PARTIAL_OVERLAP,breadth opportunity and conversion attribution,one SMA60 new-entry-only veto on real account,research/chinext_v1/regime_attribution/reports/phase5_breadth_opportunity_conversion.md
VOLUME,PARTIAL_OVERLAP,volume ratio and breakout volume candidate scan,separate Q1 Q2 controlled ranking after dynamic VCP,research/market_behavior_os_v2/reports/HAB-CHX-RANK-INFO-001_information_scan.md
INDUSTRY,PARTIAL_OVERLAP,industry diffusion with conditional Low-MAX,60d PIT industry ranking matched N4 four accounts,research/market_behavior_os_v2/reports/ASHARE-LOW-MAX-CONFIRMATION-CYCLE-012_report.md
CATALYST,PARTIAL_OVERLAP,issuer risk exact bounded V29R1 purpose,positive official catalyst existence requires different authorized complete data,configs/data_asset_registry.json
FUNDAMENTALS,PARTIAL_OVERLAP,PIT original release versions missing,single quarter comparable growth cannot use restated snapshot,research/market_behavior_os_v2/FUNDAMENTAL_DATA_READINESS.md
EXIT,NEW_TESTABLE_QUESTION,existing frozen native exits,one close-confirmed structure/trend proxy separate from fixed entry tests,PROMPT_V2.md
