audit_id,PRIMARY_LABEL,FORMER_STRONG_STOCK_VALID,PRIOR_RISE_IMPULSIVE_ENOUGH,COLLAPSE_MAIN_LEG_VALID,ZONE_IS_MEANINGFUL_COLLAPSE_GAP,ZONE_IS_TOO_SMALL_OR_LOCAL,ZONE_PERSISTED_LONG_ENOUGH,DISTINCT_BELOW_ZONE_REGIME_EXISTS,BASE_OR_SETTLING_PHASE_LOOKS_RIGHT,SELECTED_LAYER_IS_CORRECT,FIRST_RETURN_MARKER_IS_CORRECT,WOULD_CONSIDER_THIS_THE_USER_DEFINED_SETUP,REJECTION_REASON,FREE_TEXT_NOTE
V3_001,,,,,,,,,,,,,,
V3_002,,,,,,,,,,,,,,
V3_003,,,,,,,,,,,,,,
V3_004,,,,,,,,,,,,,,
V3_005,,,,,,,,,,,,,,
V3_006,,,,,,,,,,,,,,
V3_007,,,,,,,,,,,,,,
V3_008,,,,,,,,,,,,,,
V3_009,,,,,,,,,,,,,,
V3_010,,,,,,,,,,,,,,
V3_011,,,,,,,,,,,,,,
V3_012,,,,,,,,,,,,,,
V3_013,,,,,,,,,,,,,,
V3_014,,,,,,,,,,,,,,
V3_015,,,,,,,,,,,,,,
V3_016,,,,,,,,,,,,,,
V3_017,,,,,,,,,,,,,,
V3_018,,,,,,,,,,,,,,
V3_019,,,,,,,,,,,,,,
V3_020,,,,,,,,,,,,,,
