audit_id,PRIMARY_LABEL,FORMER_LEADER_VISUALLY_VALID,PRIOR_RUNUP_IMPULSIVE,COLLAPSE_MAJOR_AND_COHERENT,GAP_ZONE_VISUALLY_MEANINGFUL,GAP_FORMED_DURING_MAIN_COLLAPSE_LEG,ZONE_PERSISTED_UNRESOLVED,MATERIAL_MOVE_BELOW_ZONE_VISIBLE,FIRST_LATER_RETURN_BOUNDARY_LOOKS_CORRECT,REJECTION_REASON,FREE_TEXT_NOTE
HP_001,,,,,,,,,,,
HP_002,,,,,,,,,,,
HP_003,,,,,,,,,,,
HP_004,,,,,,,,,,,
HP_005,,,,,,,,,,,
HP_006,,,,,,,,,,,
HP_007,,,,,,,,,,,
HP_008,,,,,,,,,,,
HP_009,,,,,,,,,,,
HP_010,,,,,,,,,,,
HP_011,,,,,,,,,,,
HP_012,,,,,,,,,,,
HP_013,,,,,,,,,,,
HP_014,,,,,,,,,,,
HP_015,,,,,,,,,,,
HP_016,,,,,,,,,,,
HP_017,,,,,,,,,,,
HP_018,,,,,,,,,,,
HP_019,,,,,,,,,,,
HP_020,,,,,,,,,,,
HP_021,,,,,,,,,,,
HP_022,,,,,,,,,,,
HP_023,,,,,,,,,,,
HP_024,,,,,,,,,,,
HP_025,,,,,,,,,,,
HP_026,,,,,,,,,,,
HP_027,,,,,,,,,,,
HP_028,,,,,,,,,,,
HP_029,,,,,,,,,,,
HP_030,,,,,,,,,,,
