symbol,expected_days,missing_days
600000.SH,8,
600004.SH,8,
600006.SH,8,
600007.SH,8,
600008.SH,8,
600009.SH,8,
600012.SH,8,
600015.SH,8,
600016.SH,8,
600017.SH,8,
600018.SH,8,
600020.SH,8,
600026.SH,8,
600029.SH,8,
600030.SH,8,
600031.SH,8,
600033.SH,8,
600035.SH,8,
600036.SH,8,
600037.SH,8,
600038.SH,8,
600039.SH,8,
600048.SH,8,
600050.SH,8,
600051.SH,8,
600053.SH,8,
600054.SH,8,
600055.SH,8,
600056.SH,8,
600057.SH,8,
600058.SH,8,
600059.SH,8,
600060.SH,8,
600061.SH,8,
600062.SH,8,
600064.SH,8,
600066.SH,8,
600067.SH,8,
600071.SH,8,
600072.SH,8,
600073.SH,8,
600076.SH,8,
600079.SH,8,
600080.SH,8,
600081.SH,8,
600082.SH,8,
600084.SH,8,
600085.SH,8,
600088.SH,8,
600089.SH,8,
600094.SH,8,
600095.SH,8,
600097.SH,8,
600099.SH,8,
600100.SH,8,
600103.SH,8,
600104.SH,8,
600105.SH,8,
600106.SH,8,
600107.SH,8,
600108.SH,8,
600109.SH,8,
600110.SH,8,
600113.SH,8,
600114.SH,8,
600115.SH,8,
600118.SH,8,
600119.SH,8,
600120.SH,8,
600125.SH,8,
600127.SH,8,
600128.SH,8,
600129.SH,8,
600130.SH,8,
600131.SH,8,
600132.SH,8,
600133.SH,8,
600135.SH,8,
600136.SH,8,
600137.SH,8,
600138.SH,8,
600143.SH,8,
600148.SH,8,
600150.SH,8,
600151.SH,8,
600152.SH,8,
600153.SH,8,
600155.SH,8,
600156.SH,8,
600158.SH,8,
600159.SH,8,
600161.SH,8,
600162.SH,8,
600166.SH,8,
600168.SH,8,
600169.SH,8,
600170.SH,8,
600171.SH,8,
600172.SH,8,
600173.SH,8,
600177.SH,8,
600178.SH,8,
600179.SH,8,
600180.SH,8,
600182.SH,8,
600183.SH,8,
600184.SH,8,
600185.SH,8,
600186.SH,8,
600187.SH,8,
600189.SH,8,
600191.SH,8,
600192.SH,8,
600195.SH,8,
600196.SH,8,
600197.SH,8,
600198.SH,8,
600199.SH,8,
600201.SH,8,
600202.SH,8,
600203.SH,8,
600206.SH,8,
600207.SH,8,
600208.SH,8,
600210.SH,8,
600211.SH,8,
600212.SH,8,
600215.SH,8,
600216.SH,8,
600217.SH,8,
600218.SH,8,
600221.SH,8,
600222.SH,8,
600223.SH,8,
600228.SH,8,
600229.SH,8,
600232.SH,8,
600233.SH,8,
600234.SH,8,
600235.SH,8,
600237.SH,8,
600238.SH,8,
600239.SH,8,
600241.SH,8,
600243.SH,8,
600246.SH,8,
600248.SH,8,
600249.SH,8,
600250.SH,8,
600251.SH,8,
600252.SH,8,
600257.SH,8,
600258.SH,8,
600261.SH,8,
600262.SH,8,
600265.SH,8,
600266.SH,8,
600267.SH,8,
600268.SH,8,
600269.SH,8,
600271.SH,8,
600272.SH,8,
600276.SH,8,
600278.SH,8,
600279.SH,8,
600280.SH,8,
600283.SH,8,
600284.SH,8,
600285.SH,8,
600287.SH,8,
600288.SH,8,
600289.SH,8,
600292.SH,8,
600298.SH,8,
600300.SH,8,
600302.SH,8,
600303.SH,8,
600305.SH,8,
600308.SH,8,
600312.SH,8,
600313.SH,8,
600315.SH,8,
600316.SH,8,
600318.SH,8,
600320.SH,8,
600322.SH,8,
600323.SH,8,
600325.SH,8,
600327.SH,8,
600329.SH,8,
600332.SH,8,
600335.SH,8,
600336.SH,8,
600337.SH,8,
600340.SH,8,
600343.SH,8,
600345.SH,8,
600350.SH,8,
600351.SH,8,
600353.SH,8,
600354.SH,8,
600356.SH,8,
600358.SH,8,
600359.SH,8,
600360.SH,8,
600363.SH,8,
600365.SH,8,
600368.SH,8,
600369.SH,8,
600371.SH,8,
600372.SH,8,
600373.SH,8,
600375.SH,8,
600376.SH,8,
600377.SH,8,
600379.SH,8,
600380.SH,8,
600381.SH,8,
600383.SH,8,
600386.SH,8,
600388.SH,8,
600390.SH,8,
600391.SH,8,
600397.SH,8,
600398.SH,8,
600400.SH,8,
600405.SH,8,
600406.SH,8,
600408.SH,8,
600410.SH,8,
600415.SH,8,
600416.SH,8,
600418.SH,8,
600419.SH,8,
600420.SH,8,
600422.SH,8,
600428.SH,8,
600429.SH,8,
600433.SH,8,
600435.SH,8,
600436.SH,8,
600438.SH,8,
600439.SH,8,
600444.SH,8,
600446.SH,8,
600448.SH,8,
600455.SH,8,
600458.SH,8,
600460.SH,8,
600461.SH,8,
600463.SH,8,
600467.SH,8,
600468.SH,8,
600469.SH,8,
600476.SH,8,
600477.SH,8,
600478.SH,8,
600479.SH,8,
600480.SH,8,
600481.SH,8,
600482.SH,8,
600487.SH,8,
600488.SH,8,
600491.SH,8,
600493.SH,8,
600495.SH,8,
600496.SH,8,
600498.SH,8,
600499.SH,8,
600501.SH,8,
600502.SH,8,
600503.SH,8,
600510.SH,8,
600511.SH,8,
600512.SH,8,
600513.SH,8,
600515.SH,8,
600517.SH,8,
600518.SH,8,
600519.SH,8,
600520.SH,8,
600521.SH,8,
600522.SH,8,
600523.SH,8,
600525.SH,8,
600526.SH,8,
600527.SH,8,
600528.SH,8,
600529.SH,8,
600530.SH,8,
600533.SH,8,
600535.SH,8,
600536.SH,8,
600537.SH,8,
600538.SH,8,
600539.SH,8,
600540.SH,8,
600543.SH,8,
600545.SH,8,
600548.SH,8,
600550.SH,8,
600551.SH,8,
600552.SH,8,
600556.SH,8,
600557.SH,8,
600558.SH,8,
600559.SH,8,
600560.SH,8,
600561.SH,8,
600562.SH,8,
600563.SH,8,
600566.SH,8,
600567.SH,8,
600568.SH,8,
600570.SH,8,
600571.SH,8,
600572.SH,8,
600573.SH,8,
600576.SH,8,
600577.SH,8,
600579.SH,8,
600580.SH,8,
600582.SH,8,
600584.SH,8,
600587.SH,8,
600588.SH,8,
600589.SH,8,
600590.SH,8,
600592.SH,8,
600593.SH,8,
600594.SH,8,
600597.SH,8,
600598.SH,8,
600600.SH,8,
600601.SH,8,
600602.SH,8,
600603.SH,8,
600604.SH,8,
600605.SH,8,
600606.SH,8,
600609.SH,8,
600611.SH,8,
600612.SH,8,
600613.SH,8,
600616.SH,8,
600619.SH,8,
600620.SH,8,
600621.SH,8,
600622.SH,8,
600624.SH,8,
600626.SH,8,
600628.SH,8,
600629.SH,8,
600630.SH,8,
600633.SH,8,
600637.SH,8,
600638.SH,8,
600639.SH,8,
600640.SH,8,
600641.SH,8,
600643.SH,8,
600645.SH,8,
600648.SH,8,
600649.SH,8,
600650.SH,8,
600651.SH,8,
600653.SH,8,
600654.SH,8,
600655.SH,8,
