symbol,announcement_date,known_at,record_date,effective_date,pay_date,share_credit_date,cash_per_share_gross,share_multiplier,event_id
000681,2026-08-31,2026-09-01,2026-09-04,2026-09-07,2026-09-07,,0.006,1.0,cninfo:distribution:572cd0583148cda5667f7ff091f3c0d1
000682,2026-09-09,2026-09-10,2026-09-14,2026-09-15,2026-09-15,,0.037,1.0,cninfo:distribution:fc3be277b6bc0bf684315e5962d45ef2
000905,2026-08-29,2026-08-30,2026-09-04,2026-09-07,2026-09-07,,0.10600000000000001,1.0,cninfo:distribution:881342a21318355a435ebb12cddd61b4
001202,2026-09-01,2026-09-02,2026-09-07,2026-09-08,2026-09-08,,0.2,1.0,cninfo:distribution:c8ae9eb51f56d4a213bf7f6ad049a6b0
001230,2026-08-29,2026-08-30,2026-09-04,2026-09-07,2026-09-07,,0.09,1.0,cninfo:distribution:d9cf4cb315d57f09e5ff6911dee04c2a
001267,2026-09-03,2026-09-04,2026-09-10,2026-09-11,2026-09-11,,0.02,1.0,cninfo:distribution:ace5751aeef57756ef39e7e4d6ba781d
001308,2026-08-28,2026-08-29,2026-09-04,2026-09-07,2026-09-07,,0.36,1.0,cninfo:distribution:0321ce21c0e4f421cce2f6f4b17482de
001319,2026-09-09,2026-09-10,2026-09-15,2026-09-16,2026-09-16,,0.1,1.0,cninfo:distribution:bf303ed12cfd226afda254d706e993de
002014,2026-09-08,2026-09-09,2026-09-15,2026-09-16,2026-09-16,,0.27,1.0,cninfo:distribution:71bdb434c8c4b31a4c0d0f0a13708c64
002073,2026-09-02,2026-09-03,2026-09-08,2026-09-09,2026-09-09,,0.02,1.0,cninfo:distribution:aeb9c3b7ac47ff52b3c4414dd65a6370
002236,2026-09-09,2026-09-10,2026-09-15,2026-09-16,2026-09-16,,0.306,1.0,cninfo:distribution:f8a6cde6f9e36404170296330f089a64
002261,2026-09-04,2026-09-05,2026-09-09,2026-09-10,2026-09-10,,0.025,1.0,cninfo:distribution:97eb7fcb1a2edd1cb0588ecd359cab9b
002273,2026-09-01,2026-09-02,2026-09-07,2026-09-08,2026-09-08,,0.1,1.0,cninfo:distribution:32a26ed3a0f908fce27904291e92e936
002283,2026-09-02,2026-09-03,2026-09-09,2026-09-10,2026-09-10,,0.05,1.0,cninfo:distribution:18e26d2dbccaf581b2fb3d36e762d17a
002301,2026-09-08,2026-09-09,2026-09-15,2026-09-16,2026-09-16,,0.06999999999999999,1.0,cninfo:distribution:f1dd8bd6c7d67a4dfd25a3da613e7e62
002315,2026-09-01,2026-09-02,2026-09-08,2026-09-09,2026-09-09,,0.5,1.0,cninfo:distribution:6588f1f652a0ad87c64b8ff6a52a24b8
002322,2026-09-03,2026-09-04,2026-09-08,2026-09-09,2026-09-09,,0.33999999999999997,1.0,cninfo:distribution:5b36d672ef8e4fd1aa2c627ec330b0d7
002332,2026-09-09,2026-09-10,2026-09-15,2026-09-16,2026-09-16,,0.1,1.0,cninfo:distribution:1ceb6b12c768e3c22b01e8884847858d
002353,2026-09-04,2026-09-05,2026-09-10,2026-09-11,2026-09-11,,0.15,1.0,cninfo:distribution:8687b9652c9a48dfe1bbb36b0b8d8765
002441,2026-09-02,2026-09-03,2026-09-08,2026-09-09,2026-09-09,,0.2,1.0,cninfo:distribution:61b4e85466538470b6a0b648fac778d1
002587,2026-08-31,2026-09-01,2026-09-04,2026-09-07,2026-09-07,,0.02,1.0,cninfo:distribution:4e185b3ee82db0e44be62de283d4845c
002600,2026-09-02,2026-09-03,2026-09-07,2026-09-08,2026-09-08,,0.02,1.0,cninfo:distribution:64a68b8c14571954410a199ce102b40b
002605,2026-09-05,2026-09-06,2026-09-11,2026-09-14,2026-09-14,,0.2,1.0,cninfo:distribution:b4b933fb93abb82ebebbbf897cb45f81
002606,2026-09-08,2026-09-09,2026-09-14,2026-09-15,2026-09-15,,0.036,1.0,cninfo:distribution:1630ddf4305387588a60f08e726e0e8c
002757,2026-09-01,2026-09-02,2026-09-07,2026-09-08,2026-09-08,,0.2,1.0,cninfo:distribution:1e47ff605ba4d49a49fbf971645bad5a
002823,2026-09-02,2026-09-03,2026-09-09,2026-09-10,2026-09-10,,0.183207,1.0,cninfo:distribution:596c5551d0ba40438116f021a83efcad
002833,2026-09-02,2026-09-03,2026-09-08,2026-09-09,2026-09-09,,0.3,1.0,cninfo:distribution:5878f8ab0066251007e9a7d5be5c11e7
002841,2026-09-02,2026-09-03,2026-09-08,2026-09-09,2026-09-09,,0.5,1.0,cninfo:distribution:2842596af94e3583cf79360384760d10
002859,2026-09-02,2026-09-03,2026-09-07,2026-09-08,2026-09-08,,0.1,1.0,cninfo:distribution:c14da233236323e6394bf3882ce2b3a8
002864,2026-09-08,2026-09-09,2026-09-15,2026-09-16,2026-09-16,,0.1,1.0,cninfo:distribution:52fd432dfd97f144742d35a8b277739e
300171,2026-09-03,2026-09-04,2026-09-09,2026-09-10,2026-09-10,,0.066,1.0,cninfo:distribution:2b3a2f5816ecf6c2c7b296cbb885507b
300286,2026-09-04,2026-09-05,2026-09-10,2026-09-11,2026-09-11,,0.1,1.0,cninfo:distribution:870dda45da089fc85f0d4d46656bd1ca
300442,2026-09-08,2026-09-09,2026-09-14,2026-09-15,2026-09-15,,0.4288,1.0,cninfo:distribution:a1e8e5cca4264022b20270c1a9051930
300622,2026-09-01,2026-09-02,2026-09-08,2026-09-09,2026-09-09,,0.16,1.0,cninfo:distribution:ad618a2d5da74517a55e7a2e80fe93b7
300650,2026-09-01,2026-09-02,2026-09-07,2026-09-08,2026-09-08,,0.014000000000000002,1.0,cninfo:distribution:5ec0685edf97d7925c924f178b4c7667
300693,2026-08-28,2026-08-29,2026-09-04,2026-09-07,2026-09-07,,0.32999999999999996,1.0,cninfo:distribution:0bbd763e07cb399078e99988097087c1
300760,2026-08-31,2026-09-01,2026-09-07,2026-09-08,2026-09-08,,1.33,1.0,cninfo:distribution:065573eb37c1808438f5184194f30096
300818,2026-09-02,2026-09-03,2026-09-07,2026-09-08,2026-09-08,,0.08,1.0,cninfo:distribution:bd19b6c9f9e5dc5e8158320faeec2d71
300861,2026-09-08,2026-09-09,2026-09-14,2026-09-15,2026-09-15,,0.1,1.0,cninfo:distribution:523391c8d719833bc0a4e329650f35f0
300871,2026-08-31,2026-09-01,2026-09-07,2026-09-08,2026-09-08,,0.3,1.0,cninfo:distribution:5c38001aeca01f9ebf601ba4ac60b414
300908,2026-09-04,2026-09-05,2026-09-11,2026-09-14,,2026-09-14,0.0,1.45,cninfo:distribution:9484b14fe13ff5fb730ebef57a6121b5
301055,2026-09-02,2026-09-03,2026-09-09,2026-09-10,2026-09-10,,0.1,1.0,cninfo:distribution:1f7cc1e310c8065256c6778e8ebe3f2b
301078,2026-09-01,2026-09-02,2026-09-07,2026-09-08,2026-09-08,,0.02,1.0,cninfo:distribution:9f27a47878ac3c254468bc88ec01e63c
301108,2026-09-03,2026-09-04,2026-09-10,2026-09-11,2026-09-11,,0.12,1.0,cninfo:distribution:4b7c9db9f04958ad9b256754b7af6a2a
301151,2026-09-02,2026-09-03,2026-09-08,2026-09-09,2026-09-09,,0.2,1.0,cninfo:distribution:cb411ec8dc956fe0aafb1ec72e291e4e
301162,2026-08-31,2026-09-01,2026-09-04,2026-09-07,2026-09-07,,0.16,1.0,cninfo:distribution:9b4683dc7769eb79c88a45a721919faa
301239,2026-09-04,2026-09-05,2026-09-10,2026-09-11,2026-09-11,,0.3,1.0,cninfo:distribution:7c84638e212b635f704c2c9ee83ecec2
301300,2026-09-03,2026-09-04,2026-09-09,2026-09-10,2026-09-10,,0.3,1.0,cninfo:distribution:5991a7782234266e450b54e887bd897d
301381,2026-09-02,2026-09-03,2026-09-09,2026-09-10,2026-09-10,,0.25,1.0,cninfo:distribution:0753a0ae45d1f5411ba6ce15392dcdb7
301498,2026-09-08,2026-09-09,2026-09-14,2026-09-15,2026-09-15,,0.25,1.0,cninfo:distribution:fd291edd7fee9460b0bc9385d59b40b3
301548,2026-09-10,2026-09-11,2026-09-15,2026-09-16,2026-09-16,,0.22000000000000003,1.0,cninfo:distribution:c502b0759a0c650df5cbf347aa325d56
