artifact,status,reason
daily_capital_demand.csv,NOT_GENERATED_P0_BLOCKED,No common continuous account; no invented scenario rows
capital_headroom_summary.csv,NOT_GENERATED_P0_BLOCKED,No common continuous account; no invented scenario rows
shared_funded_trades.csv,NOT_GENERATED_P0_BLOCKED,No common continuous account; no invented scenario rows
base_entitlement_shortfall.csv,NOT_GENERATED_P0_BLOCKED,No common continuous account; no invented scenario rows
crowded_dates.csv,NOT_GENERATED_P0_BLOCKED,No common continuous account; no invented scenario rows
strategy_family_exposure.csv,NOT_GENERATED_P0_BLOCKED,No common continuous account; no invented scenario rows
scenario_summary.csv,NOT_GENERATED_P0_BLOCKED,No common continuous account; no invented scenario rows
scenario_segment_results.csv,NOT_GENERATED_P0_BLOCKED,No common continuous account; no invented scenario rows
incremental_capital_efficiency.csv,NOT_GENERATED_P0_BLOCKED,No common continuous account; no invented scenario rows
mcb_mode_comparison.csv,NOT_GENERATED_P0_BLOCKED,No common continuous account; no invented scenario rows
gap_family_comparison.csv,NOT_GENERATED_P0_BLOCKED,No common continuous account; no invented scenario rows
drawdown_gate_frontier.csv,NOT_GENERATED_P0_BLOCKED,No common continuous account; no invented scenario rows
worst_portfolio_days.csv,NOT_GENERATED_P0_BLOCKED,No common continuous account; no invented scenario rows
drawdown_attribution.csv,NOT_GENERATED_P0_BLOCKED,No common continuous account; no invented scenario rows
