strategy,route_family,native_rule,production_exit,candidate_rule,period,sample_stage,final_recommendation,evidence_limitation,account_reset,cost_contract,added_trades,released_capital_contribution,trades_native,trades_candidate,closed_trades_native,closed_trades_candidate,right_censored_native,right_censored_candidate,worst_trade_native,worst_trade_candidate,CAGR_native,CAGR_candidate,MaxDD_native,MaxDD_candidate,CVaR5_native,CVaR5_candidate,worst_month_native,worst_month_candidate,worst_quarter_native,worst_quarter_candidate,recovery_days_native,recovery_days_candidate,recovery_censored_native,recovery_censored_candidate,longest_drawdown_days_native,longest_drawdown_days_candidate,avg_holding_days_native,avg_holding_days_candidate,capital_weighted_holding_days_native,capital_weighted_holding_days_candidate,capital_days_native,capital_days_candidate,costs_native,costs_candidate,CAGR_delta
ATRDR,ATRDR_FAST_BEAR_IN_SHARED_ACCOUNT,FROZEN_NATIVE_EXIT,KEEP_NATIVE_EXIT,fixed_0.05,2018_2021,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,REJECT_CANDIDATE,ATRDR prefix defect affects all portfolio comparisons; no production promotion; SMV6 native platform unverified; IFCGR PIT-B,False,Existing normalized stock replay:0.2% per side; OGR board accounts weighted0.5,0,0.0,913,913,903,903,10,10,-0.23404503920741904,-0.23404503920741904,0.13953683308907072,0.1380886496936724,0.06169084324170304,0.062148805997626955,-0.012659264081229218,-0.012671743592508332,-0.0328684694828002,-0.032694472101392535,-0.022516624023544374,-0.022445051333488508,67.0,67.0,False,False,176.0,176.0,13.481727574750831,13.387596899224807,13.5529442765078,13.460390540909838,273.2573206870934,271.54591541506045,0.0819412375717169,0.0819344387767494,-0.001448183395398317
ATRDR,ATRDR_FAST_BEAR_IN_SHARED_ACCOUNT,FROZEN_NATIVE_EXIT,KEEP_NATIVE_EXIT,fixed_0.05,2022_2023,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,REJECT_CANDIDATE,ATRDR prefix defect affects all portfolio comparisons; no production promotion; SMV6 native platform unverified; IFCGR PIT-B,False,Existing normalized stock replay:0.2% per side; OGR board accounts weighted0.5,6,0.005057166218734475,441,444,441,444,0,0,-0.24659002720730994,-0.2001044902675858,0.0754373330203193,0.07284446740322759,0.0607083240237869,0.05830924576173624,-0.011462720283529283,-0.010893300275109197,-0.026236873131600946,-0.02509215941984866,-0.028677321754984497,-0.03048385797728481,41.0,42.0,False,False,74.0,75.0,14.08843537414966,13.653153153153154,14.141165047923021,13.699558094158155,115.66182950322262,112.45169547819692,0.03335986452492266,0.033402154758378634,-0.002592865617091711
MCB,MCB,FROZEN_NATIVE_EXIT,KEEP_NATIVE_EXIT,profit_0,2018_2021,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,RETAIN_SHADOW_CANDIDATE,ATRDR prefix defect affects all portfolio comparisons; no production promotion; SMV6 native platform unverified; IFCGR PIT-B,False,Existing normalized stock replay:0.2% per side; OGR board accounts weighted0.5,1,-0.00032089488656733843,477,478,468,470,9,8,-0.2056378041463084,-0.17246570688410412,0.08200847289913393,0.07778895548339548,0.051264860698954196,0.04271555393109017,-0.008456303054758097,-0.007049883421402731,-0.021374952908647993,-0.02100149716022659,-0.02384442829986788,-0.009675774579043228,67.0,85.0,False,False,283.0,283.0,12.876068376068377,10.921276595744681,12.95978392381899,10.968592917243237,136.48231516926958,116.6776941087526,0.03849352240082685,0.038061453853075175,-0.00421951741573845
MCB,MCB,FROZEN_NATIVE_EXIT,KEEP_NATIVE_EXIT,profit_0,2022_2023,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,RETAIN_SHADOW_CANDIDATE,ATRDR prefix defect affects all portfolio comparisons; no production promotion; SMV6 native platform unverified; IFCGR PIT-B,False,Existing normalized stock replay:0.2% per side; OGR board accounts weighted0.5,0,0.0,203,203,203,203,0,0,-0.17480166104572437,-0.17110002217786635,0.036226791115649304,0.03805265538808489,0.03420624376398684,0.029833091561153435,-0.006418132750736505,-0.005669081433939907,-0.007425331064089269,-0.0067084437282339815,-0.014955762654414673,-0.013169454054490437,70.0,70.0,False,False,131.0,131.0,14.187192118226601,12.886699507389162,14.235606822138378,12.914486014042192,66.69638055239815,61.26664027280111,0.014714100679176948,0.014567059015179119,0.0018258642724355845
OGR,GAP_FAMILY,FROZEN_NATIVE_EXIT,KEEP_NATIVE_EXIT,atr_1,2018_2021,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,RETAIN_SHADOW_CANDIDATE,ATRDR prefix defect affects all portfolio comparisons; no production promotion; SMV6 native platform unverified; IFCGR PIT-B,True,Existing normalized stock replay:0.2% per side; OGR board accounts weighted0.5,3,0.0014211059370063117,255,258,255,258,0,0,-0.159393267253642,-0.10613832655775457,0.026472502338916737,0.02423099927930905,0.014396305449991154,0.013333553613674054,-0.0009751144625677508,-0.0007707126227775641,-0.0029115411343262343,-0.001714814672982734,-0.0003243202709384274,-0.0002754129961375362,2.0,2.0,False,False,124.0,67.0,9.007843137254902,7.375968992248062,9.033416065062898,7.373065758479403,15.051013928714962,12.540648064926087,0.0068617283139108835,0.006901493115369601,-0.0022415030596076857
OGR,GAP_FAMILY,FROZEN_NATIVE_EXIT,KEEP_NATIVE_EXIT,atr_1,2022_2023,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,RETAIN_SHADOW_CANDIDATE,ATRDR prefix defect affects all portfolio comparisons; no production promotion; SMV6 native platform unverified; IFCGR PIT-B,True,Existing normalized stock replay:0.2% per side; OGR board accounts weighted0.5,0,0.0,44,44,44,44,0,0,-0.15713443714989273,-0.08832069194943437,0.008016579756451092,0.006994793968621016,0.0043268833963773234,0.0043125016029256225,-0.0004806065158106465,-0.0004002067759868444,-0.0011832680304707521,-0.0006438021607643174,-0.0006367307814238998,-0.0005429530992974163,5.0,5.0,False,False,103.0,355.0,11.704545454545455,9.909090909090908,11.701473930042436,9.903439128825104,3.268367471721904,2.804009124340685,0.0011377850194319865,0.001134098903076499,-0.0010217857878300762
IFCGR,GAP_FAMILY,FROZEN_NATIVE_EXIT,KEEP_NATIVE_EXIT,atr_1,2018_2021,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,RETAIN_SHADOW_CANDIDATE,ATRDR prefix defect affects all portfolio comparisons; no production promotion; SMV6 native platform unverified; IFCGR PIT-B,True,Existing normalized stock replay:0.2% per side; OGR board accounts weighted0.5,3,0.001454216925471541,248,251,248,251,0,0,-0.1593932672536421,-0.10613832655775468,0.02531657941360166,0.023087883633189366,0.015496829810301649,0.014397836565238409,-0.0009659323586078615,-0.0007580410603182296,-0.0029090663176787324,-0.0017126184771177888,-0.0003233792795704904,-0.0002746227163136217,2.0,2.0,False,False,124.0,96.0,9.116935483870968,7.446215139442231,9.144210089698039,7.443626377630762,14.768184271140724,12.279036011311238,0.006648674485802681,0.006688977126745108,-0.002228695780412293
IFCGR,GAP_FAMILY,FROZEN_NATIVE_EXIT,KEEP_NATIVE_EXIT,atr_1,2022_2023,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,RETAIN_SHADOW_CANDIDATE,ATRDR prefix defect affects all portfolio comparisons; no production promotion; SMV6 native platform unverified; IFCGR PIT-B,True,Existing normalized stock replay:0.2% per side; OGR board accounts weighted0.5,0,0.0,44,44,44,44,0,0,-0.15713443714989273,-0.08832069194943437,0.008016579756451092,0.006994793968621016,0.0043268833963773234,0.0043125016029256225,-0.0004806065158106465,-0.0004002067759868444,-0.0011832680304707521,-0.0006438021607643174,-0.0006367307814238998,-0.0005429530992974163,5.0,5.0,False,False,103.0,355.0,11.704545454545455,9.909090909090908,11.701473930042436,9.903439128825104,3.268367471721904,2.804009124340685,0.0011377850194319865,0.001134098903076499,-0.0010217857878300762
SMV6,SMV6,FROZEN_NATIVE_EXIT,KEEP_NATIVE_EXIT,ENTRY_ATR_X1,2018_2021,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,RETAIN_SHADOW_CANDIDATE,ATRDR prefix defect affects all portfolio comparisons; no production promotion; SMV6 native platform unverified; IFCGR PIT-B,False,2bp commission +8bp/side slippage;100 shares;minute50%,2,-0.0145682847355114,44,46,44,46,0,0,-0.0682136723696066,-0.0468253541623474,0.0559786097250947,0.0456691597634946,0.0867761263131051,0.0871084193369619,-0.0129672798988966,-0.0129237772762262,-0.0216184792824153,-0.0325446286764188,-0.0255350444015063,-0.0364018779850701,8.0,8.0,False,False,260.0,259.0,18.931818181818183,15.391304347826088,18.00416298719083,15.835643597397612,162.768920806564,146.33781810546373,0.0242362340231512,0.027315553542208,-0.010309449961600096
SMV6,SMV6,FROZEN_NATIVE_EXIT,KEEP_NATIVE_EXIT,EXISTING_PROFIT_PROTECTION,2018_2021,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,REJECT_CANDIDATE,ATRDR prefix defect affects all portfolio comparisons; no production promotion; SMV6 native platform unverified; IFCGR PIT-B,False,2bp commission +8bp/side slippage;100 shares;minute50%,0,0.0,44,44,44,44,0,0,-0.0682136723696066,-0.0682136723696066,0.0559786097250947,0.0560454349424091,0.0867761263131051,0.0868270288605198,-0.0129672798988966,-0.0129702698201351,-0.0216184792824153,-0.0216171434624549,-0.0255350444015063,-0.0255307742067625,8.0,8.0,False,False,260.0,260.0,18.931818181818183,18.931818181818183,18.00416298719083,18.00335453177035,162.768920806564,162.85279218008398,0.0242362340231512,0.0242488126125446,6.682521731440211e-05
