portfolio,period,variant,days,missing_nav_days,metric_status,start,end,total_return,CAGR,MaxDD,CVaR5,worst_21day,worst_month,worst_quarter,longest_drawdown_days,recovery_days,recovery_censored,Sharpe,avg_gross_exposure,avg_cash,capital_days,base_nav,costs,turnover,smv6_candidate,evidence,portfolio_type,limitation
A,2018_2021,ALL_NATIVE,973,0,OK,2018-01-02,2021-12-31,0.35261291340386536,0.07843353027070776,0.03748463793482659,-0.007454111431622423,-0.024999884881661827,-0.014234846454799666,-0.016244439153104362,142,118,False,1.5986405061861209,0.12795820472002503,0.872041795279975,146.88989264791047,1.0,0.03788318057740146,21.97107671538999,ENTRY_ATR_X1,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,INITIAL_EQUAL_SLEEVE_INDEPENDENT_COMPOUNDING,ALL_VARIANTS_CONDITIONAL_ON_KNOWN_ATRDR_PREFIX_DEFECT
A,2018_2021,GAP_ATR1_ONLY,973,0,OK,2018-01-02,2021-12-31,0.35019657093579193,0.07795157193886704,0.03754861586566738,-0.007448046939703393,-0.025042554118823612,-0.014303115844866654,-0.01627194902515161,142,118,False,1.5903074335259153,0.12755057982139772,0.8724494201786023,146.26230118196327,1.0,0.037893121777766145,21.97604731557233,ENTRY_ATR_X1,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,INITIAL_EQUAL_SLEEVE_INDEPENDENT_COMPOUNDING,ALL_VARIANTS_CONDITIONAL_ON_KNOWN_ATRDR_PREFIX_DEFECT
A,2018_2021,MCB_PROFIT_ONLY,973,0,OK,2018-01-02,2021-12-31,0.34729901173719324,0.07737277746497262,0.036525795706099595,-0.007131559760135835,-0.024292372398623474,-0.014146184846668075,-0.012643109598712954,142,117,False,1.6411835555771146,0.12384726134719809,0.8761527386528019,141.93873738278126,1.0,0.03777516344046355,21.91706814692103,ENTRY_ATR_X1,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,INITIAL_EQUAL_SLEEVE_INDEPENDENT_COMPOUNDING,ALL_VARIANTS_CONDITIONAL_ON_KNOWN_ATRDR_PREFIX_DEFECT
A,2018_2021,ALL_RETAINED,973,0,OK,2018-01-02,2021-12-31,0.3329197891126907,0.07448660047101918,0.03660022666888352,-0.007125761801029445,-0.024257085833155112,-0.014308621997028648,-0.01477382308377706,142,117,False,1.591383564621322,0.12053070450583733,0.8794692954941628,137.20337024155896,1.0,0.038554934520592415,22.691875790419754,ENTRY_ATR_X1,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,INITIAL_EQUAL_SLEEVE_INDEPENDENT_COMPOUNDING,ALL_VARIANTS_CONDITIONAL_ON_KNOWN_ATRDR_PREFIX_DEFECT
A,2018_2021,ATRDR_FAST5_DIAGNOSTIC_ONLY,973,0,OK,2018-01-02,2021-12-31,0.3504740616126272,0.07800695247888312,0.037469127401690505,-0.007459762948901152,-0.024980360066708784,-0.014179210009674703,-0.016224233699690616,142,118,False,1.5902171360368789,0.12768929898732606,0.8723107010126739,146.46204132990223,1.0,0.03788148087865959,21.970226866019058,ENTRY_ATR_X1,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,INITIAL_EQUAL_SLEEVE_INDEPENDENT_COMPOUNDING,ALL_VARIANTS_CONDITIONAL_ON_KNOWN_ATRDR_PREFIX_DEFECT
A,2018_2021,SMV6_CANDIDATE_ONLY,973,0,OK,2018-01-02,2021-12-31,0.34065003324743603,0.07604109021717287,0.03750236975939181,-0.007456405193448441,-0.02751954372459331,-0.01432927451261834,-0.018343919200014547,142,118,False,1.5581298246158881,0.12508502607723937,0.8749149739227606,142.7821169726354,1.0,0.038653010457165654,22.740913758706377,ENTRY_ATR_X1,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,INITIAL_EQUAL_SLEEVE_INDEPENDENT_COMPOUNDING,ALL_VARIANTS_CONDITIONAL_ON_KNOWN_ATRDR_PREFIX_DEFECT
A,2022_2023,ALL_NATIVE,484,0,OK,2022-01-04,2023-12-29,0.0828671967550314,0.040637422941701695,0.023115145848288554,-0.006086299363292995,-0.017881138455670853,-0.010609060722457153,-0.009879082862123134,99,44,False,1.1345949066624372,0.12122891884883218,0.8787710811511678,61.444855466233186,1.0,0.01452169984247633,8.370216009567887,ENTRY_ATR_X1,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,INITIAL_EQUAL_SLEEVE_INDEPENDENT_COMPOUNDING,ALL_VARIANTS_CONDITIONAL_ON_KNOWN_ATRDR_PREFIX_DEFECT
A,2022_2023,GAP_ATR1_ONLY,484,0,OK,2022-01-04,2023-12-29,0.08235282683613598,0.04039006906803233,0.023115145848288554,-0.006087599427108383,-0.0179009009295914,-0.01060931012885824,-0.009879082862123134,99,44,False,1.128317046147197,0.12102371472807126,0.8789762852719286,61.32876587938787,1.0,0.01452077831338746,8.369755245023452,ENTRY_ATR_X1,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,INITIAL_EQUAL_SLEEVE_INDEPENDENT_COMPOUNDING,ALL_VARIANTS_CONDITIONAL_ON_KNOWN_ATRDR_PREFIX_DEFECT
A,2022_2023,MCB_PROFIT_ONLY,484,0,OK,2022-01-04,2023-12-29,0.08381333962979443,0.041092257610620075,0.02129205921813404,-0.005937270922950218,-0.017847909722449318,-0.0110422717363573,-0.008815765149381538,99,44,False,1.1700627645011525,0.11850106967126506,0.881498930328735,60.087420396333926,1.0,0.014484939426476873,8.35183580156816,ENTRY_ATR_X1,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,INITIAL_EQUAL_SLEEVE_INDEPENDENT_COMPOUNDING,ALL_VARIANTS_CONDITIONAL_ON_KNOWN_ATRDR_PREFIX_DEFECT
A,2022_2023,ALL_RETAINED,484,0,OK,2022-01-04,2023-12-29,0.08526964895573341,0.0417919545977683,0.02129205921813404,-0.005486841872692562,-0.01308488583695977,-0.01054425819408955,-0.008815765149381538,90,44,False,1.274350288109675,0.11658461225011736,0.8834153877498827,59.08675091522518,1.0,0.015014844621979587,8.882200160651491,ENTRY_ATR_X1,ALREADY_CONSUMED_HISTORY_NOT_INDEPENDENT_VALIDATION,INITIAL_EQUAL_SLEEVE_INDEPENDENT_COMPOUNDING,ALL_VARIANTS_CONDITIONAL_ON_KNOWN_ATRDR_PREFIX_DEFECT
