"STRATEGY","PRODUCER_ROLE","PRODUCER_ID","SOURCE_FOUND","PATH_OR_COMMIT","GIT_BLOB_SHA1","RECOVERED_SHA256","EXPECTED_SHA256","SHA256_MATCH","CURRENT_WORKTREE","ALL_REFS_OBJECT_HISTORY","REGISTERED_WORKTREES","REQUIRED_ROOTS_SEARCHED","RESTORED_SOURCES_OR_ARCHIVE","CLASSIFICATION","NOTES"
"OGR","V13","ASHARE-TRUE-GAP-BELOW-L-FIRST-REVERSAL-V13","YES","bba5bc4b76f128d216fa7ef2a6b370771faf65ba:research/market_behavior_os_v2/scripts/run_ashare_true_gap_below_l_first_reversal_v13.py","18acfc139c529712c4b657efc38b4f340c0e4440","a156657128053cdeda68e53d5f433de34976353bcc79f25cfab9410bb779dc26","a156657128053cdeda68e53d5f433de34976353bcc79f25cfab9410bb779dc26","YES","FOUND","FOUND; path history begins at bfc5a802e69df6c54e388b48deb503d79d265735","FOUND_IN_5_OF_43","YES","FOUND; restored bba5bc4 bytes equal Git bytes","FOUND_EXACT","Current integration worktree also contains the exact bytes."
"OGR","V27","ASHARE-TRUE-GAP-BELOW-L-FRESH-CAPITULATION-SNAPBACK-V27","YES","bba5bc4b76f128d216fa7ef2a6b370771faf65ba:research/market_behavior_os_v2/scripts/run_ashare_true_gap_below_l_fresh_capitulation_snapback_v27.py","e5a0247a9ac7d45567c44b31739d5a323cf391eb","86dd15e8a49da1f6481d3552f02ffbbcdb874eaf6b8b0754220d36b4dee9face","86dd15e8a49da1f6481d3552f02ffbbcdb874eaf6b8b0754220d36b4dee9face","YES","FOUND","FOUND; path history begins at a1c4df9d5ff8af96285d9b1cdf858ccf54cfb311","FOUND_IN_5_OF_43","YES","FOUND; restored bba5bc4 bytes equal Git bytes","FOUND_EXACT","Current integration worktree also contains the exact bytes."
"OGR","V28","ASHARE-TRUE-GAP-BELOW-L-LIQUIDITY-TRAP-GUARD-V28","YES","bba5bc4b76f128d216fa7ef2a6b370771faf65ba:research/market_behavior_os_v2/scripts/run_ashare_true_gap_below_l_liquidity_trap_guard_v28.py","3222c1148517d81bf762856a29f92abab5fca347","865aa4e0058b69168002ac3ce61014d41fbf502a9541565ecdeec3f075147cce","865aa4e0058b69168002ac3ce61014d41fbf502a9541565ecdeec3f075147cce","YES","FOUND","FOUND","FOUND_IN_2_OF_43","YES","FOUND; restored bba5bc4 bytes equal Git bytes","FOUND_EXACT","Hash is recorded by the frozen V28 artifacts."
"OGR","V28R1","ASHARE-TRUE-GAP-BELOW-L-DEMAND-NOT-LOCKED-V28R1","YES","bba5bc4b76f128d216fa7ef2a6b370771faf65ba:research/market_behavior_os_v2/scripts/run_ashare_true_gap_below_l_demand_not_locked_v28r1.py","0d2af19f9a46c0c6fbdea2375348f2dccc1df150","b74bdc04a7b898cbac7bb042601b33d7ae52643af6cff758e22b314ea24a7dc8","b74bdc04a7b898cbac7bb042601b33d7ae52643af6cff758e22b314ea24a7dc8","YES","FOUND","FOUND","FOUND_IN_2_OF_43","YES","FOUND; restored bba5bc4 bytes equal Git bytes","FOUND_EXACT","Hash is recorded by the V28R2 validation identity freeze."
"OGR","V28R2","ASHARE-TRUE-GAP-BELOW-L-ORDERLY-DEMAND-V28R2","YES","bba5bc4b76f128d216fa7ef2a6b370771faf65ba:research/market_behavior_os_v2/scripts/run_ashare_true_gap_below_l_orderly_demand_v28r2.py","a0d0ac76ca4719913524c24ccaf3ca3a01cbca00","540863fde51f23efc1fc413385868d58ac0a48575b9ebc0cf9eab64acbca30af","540863fde51f23efc1fc413385868d58ac0a48575b9ebc0cf9eab64acbca30af","YES","FOUND","FOUND","FOUND_IN_2_OF_43","YES","FOUND; restored bba5bc4 bytes equal Git bytes","FOUND_EXACT_REGISTERED","Matches STRATEGY_ALIAS_REGISTRY.json."
"ATRDR","BULL_PRODUCER","ASHARE-SIMPLE-REGIME-COMPLEMENTARY-DEMAND-ROUTER-V29","YES","c12a7fdd269cdc7f240d9de3d0943c609edb5317:research/market_behavior_os_v2/scripts/run_ashare_simple_regime_complementary_demand_router_v29.py","990ba379245bb0521d150ef2bb3ebe2fb74bbef6","69a83159aa2bd1aa2426268c3036a9759148c19d0f03d15eedf5e7ad95edbfba","69a83159aa2bd1aa2426268c3036a9759148c19d0f03d15eedf5e7ad95edbfba","YES","FOUND","FOUND","FOUND_IN_2_OF_43","YES","FOUND; restored c12a7fdd bytes equal Git bytes","FOUND_EXACT_REGISTERED","The frozen Bull producer was never missing; only its old path context moved."
"ATRDR","FAST_BEAR_MOTHER","ASHARE-OVERSOLD-ACTIVE-DEMAND-IGNITION-V1 candidate-panel producer","NO","NONE; contracts and consumers reference /Volumes/quant/CY_quant_research/ashare_oversold_stabilized_demand_reversal_v2/stage_a/candidates_2014_2023_outcome_blind.parquet","","","","NOT_AVAILABLE","ABSENT; only reconstructed standalone implementation exists","ABSENT_FROM_ALL_REFS_REFLOG_AND_UNREACHABLE_COMMITS","ABSENT_FROM_43_OF_43; consumers found but no producer","YES","ABSENT; contracts and consumer scripts only","TRULY_MISSING_ORIGINAL_PRODUCER","git log -S and all reachable Python-object content searches find only contracts or consumers; the existing standalone implementation remains a labeled behavioral reconstruction."
"ATRDR","SLOW_BEAR_MOTHER","ASHARE-DISTRIBUTED-ACCUMULATION-SLOW-EXHAUSTION-MOTHER-SCREEN-V1","YES","c5e3ec548e93df15f4ef492d2aef2dcdd5063df1:research/market_behavior_os_v2/scripts/run_ashare_distributed_accumulation_slow_exhaustion_mother_screen_v1.py","520ac3f828aefc640e560d199a76fe97c465927e","4c4992e333c9f7931ca84454e1f71742cf49bcfa8ff333ba8876cc202f351870","4c4992e333c9f7931ca84454e1f71742cf49bcfa8ff333ba8876cc202f351870","YES","ABSENT","FOUND","FOUND_IN_1_OF_43","YES","NOT_IN_SIX_OLD_SNAPSHOTS; exact Git bytes present in registered autonomous worktree","FOUND_EXACT","The autonomous worktree file is byte-identical to the authoritative c5e3ec Git object."
"ATRDR","POST_2023_2024_2025","V27 validation 2024-2025 producer","NO","NONE; only frozen output references at /Volumes/quant/CY_quant_research/ashare_causal_market_regime_substrategy_router_v27_validation_2024_2025_v1","","","","NOT_AVAILABLE","ABSENT","ABSENT_FROM_ALL_REFS_REFLOG_AND_UNREACHABLE_COMMITS","ABSENT_FROM_43_OF_43","YES","ABSENT; downstream references only","TRULY_MISSING_ORIGINAL_PRODUCER","No historical commit or recovery snapshot contains a producer path or implementation for this frozen V27 output set."
"ATRDR","POST_2023_2026YTD_V1","V27 validation 2026YTD V1 producer","NO","NONE; only frozen output references at /Volumes/quant/CY_quant_research/ashare_causal_market_regime_substrategy_router_v27_validation_2026ytd_v1","","","","NOT_AVAILABLE","ABSENT","ABSENT_FROM_ALL_REFS_REFLOG_AND_UNREACHABLE_COMMITS","ABSENT_FROM_43_OF_43","YES","ABSENT; V2 consumes V1 but does not contain its producer","TRULY_MISSING_ORIGINAL_PRODUCER","The V1 candidate/outcome assets are inputs to the recovered V2 extension; their original producing code is not recoverable."
