gap_id,symbol,board,gap_date,cal_idx,gap_seq,invalid_step_cum,coordinate_factor,L,U,W,gap_width_pct,open,high,low,close,coord_open,coord_high,coord_low,coord_close,previous_trade_date,previous_low,previous_close,daily_history_complete,first_post_gap_touch_is_pristine,pre_gap_inside_touch_sessions,pre_gap_corridor_touch_sessions,stage_a_daily_disposition,first_return_date,first_return_cal_idx,first_return_seq,first_return_coordinate_factor,gap_age_sessions,max_depth_below_l_before_return,post_gap_lower_corridor_touch_sessions,post_gap_lower_corridor_turnover,approach_return_10d,approach_path_efficiency_10d,higher_low_share_10d,pre_peak_date,pre_peak_to_gap_sessions,pre_gap_drawdown_from_120d_peak,pre_gap_return_20d,pre_gap_return_60d,pre_gap_max_runup_20d,pre_gap_max_runup_60d,minute_history_sessions,exact_241_minute_sessions,local_mass,inside_mass,corridor_mass,pre_gap_inside_density_relative_local,pre_gap_corridor_density_relative_local,exact_minute_history,low_inside_inventory,low_corridor_inventory,pristine_first_return_time,first_return_session_minutes,exact_first_return_minute_valid,u_fill_offset,first_u_fill_date,u_full_fill_5d,u_full_fill_10d,u_full_fill_20d,u_full_fill_40d,discovery_year,descriptive_rule_match,chart_id
600048.SH|2014-02-24,600048.SH,MAIN,2014-02-24,270,270,1.0,0.07180812868016656,0.5206089329312076,0.5299439896596292,0.009335056728421609,0.01756756756756755,7.25,7.25,6.75,6.77,0.5206089329312076,0.5206089329312076,0.48470486859112427,0.4861410311647276,2014-02-21,7.38,7.4,True,True,1.0,7.0,ELIGIBLE_FOR_MINUTE_VAP,2014-03-06,278.0,278.0,0.07180812868016657,8.0,0.09931034482758583,0.0,0.0,-0.0029985007496249327,0.0,0.3333333333333333,2013-09-12,104.0,0.40789473684210564,-0.005376344086021612,-0.16289592760180993,0.14557823129251668,0.24625850340136046,120.0,120.0,0.09265451983622393,0.00011847865852434795,0.012148967378815885,0.006393571448741559,0.3278028799968526,True,True,True,2014-03-06 14:33:00,241,True,12.0,2014-03-24,False,False,True,True,2014,True,ALLGAP-0001
002255.SZ|2014-04-29,002255.SZ,MAIN,2014-04-29,315,315,1.0,0.07280249711391489,0.8634376157710305,0.8736299653669786,0.010192349595948058,0.011541632316570533,11.86,11.86,11.3,11.62,0.8634376157710305,0.8634376157710305,0.8226682173872383,0.8459650164636909,2014-04-28,12.0,12.13,True,True,0.0,1.0,ELIGIBLE_FOR_MINUTE_VAP,2014-06-16,346.0,346.0,0.07314818798340167,31.0,0.12731871838111275,0.0,0.0,0.058823529411764275,0.3684210526315763,0.7777777777777778,2014-02-19,48.0,0.25461741424802087,-0.09274495138369454,-0.1397163120567374,0.1625000000000001,0.263333333333333,120.0,120.0,0.01711142151769176,0.0,0.0021855791589319735,0.0,0.31931583776839784,True,True,True,2014-06-16 09:31:00,241,True,17.0,2014-07-09,False,False,True,True,2014,True,ALLGAP-0002
600822.SH|2014-12-22,600822.SH,MAIN,2014-12-22,475,475,1.0,0.2262443438914027,1.990950226244344,2.015837104072398,0.02488687782805421,0.012304250559284054,8.8,8.8,8.05,8.05,1.990950226244344,1.990950226244344,1.8212669683257918,1.8212669683257918,2014-12-19,8.91,8.94,True,True,1.0,1.0,ELIGIBLE_FOR_MINUTE_VAP,2015-01-08,486.0,486.0,0.22624434389140272,11.0,0.1409090909090911,0.0,0.0,0.048101265822784844,0.2602739726027402,0.6666666666666666,2014-10-23,42.0,0.378858024691358,-0.1931407942238269,-0.20107238605898103,0.3221099887766554,0.4545454545454548,120.0,120.0,0.03994938173446066,0.0,0.012494812922248223,0.0,0.7819152875318529,True,True,True,2015-01-08 09:40:00,241,True,0.0,2015-01-08,True,True,True,True,2015,True,ALLGAP-0003
300498.SZ|2016-11-02,300498.SZ,CHINEXT,2016-11-02,928,245,1.0,0.021934417142238354,0.7655111582641185,0.774942957635281,0.009431799371162453,0.012085441259134338,33.52,34.9,33.51,34.06,0.7352416626078297,0.7655111582641185,0.7350223184364072,0.7470862478646384,2016-11-01,35.33,35.58,True,True,1.0,5.0,ELIGIBLE_FOR_MINUTE_VAP,2016-11-28,946.0,263.0,0.022260046850406973,18.0,0.05329512893982813,3.0,0.0085615116340777,-0.022607163828538224,0.0,0.3333333333333333,2016-07-15,71.0,0.19038415076105275,-0.003640436852422102,-0.039935240151105944,0.04670251910557588,0.09538635720350963,120.0,120.0,0.18522363352131216,0.0,0.030430893065838877,0.0,0.41073177983976655,True,True,True,2016-11-28 13:16:00,241,True,0.0,2016-11-28,True,True,True,True,2016,True,ALLGAP-0004
002797.SZ|2017-01-16,002797.SZ,MAIN,2017-01-16,980,168,1.0,0.06542162198431949,1.9508727675724071,1.9842377947844099,0.03336502721200274,0.01674876847290634,29.81,29.82,27.41,27.61,1.9502185513525638,1.9508727675724071,1.7932066585901971,1.8062909829870608,2017-01-13,30.33,30.45,True,True,0.0,1.0,ELIGIBLE_FOR_MINUTE_VAP,2017-02-08,992.0,180.0,0.06542162198431949,12.0,0.12776659959758552,0.0,0.0,0.01003717472118959,0.11894273127753359,0.5555555555555556,2016-11-14,44.0,0.3973175021987684,-0.12070459139474421,-0.16415042547351033,0.18595450049455975,0.4995054401582584,120.0,120.0,0.06296921917808218,0.0,0.010767127853881278,0.0,0.4274758363856691,True,True,True,2017-02-08 13:59:00,241,True,1.0,2017-02-09,True,True,True,True,2017,True,ALLGAP-0005
002667.SZ|2017-04-17,002667.SZ,MAIN,2017-04-17,1038,1038,1.0,0.08071896349701996,1.5602975643973958,1.5820916845415913,0.021794120144195572,0.013657056145675424,19.3,19.33,18.51,18.8,1.5578759954924852,1.5602975643973958,1.4941080143298395,1.5175165137439752,2017-04-14,19.6,19.77,True,True,0.0,1.0,ELIGIBLE_FOR_MINUTE_VAP,2017-04-26,1045.0,1045.0,0.08071896349701996,7.0,0.08535954474909457,0.0,0.0,-0.029001074113856218,0.0,0.6,2016-10-19,120.0,0.473998294970162,-0.13022437307523127,-0.32686414708886646,0.21683673469387776,0.6826530612244899,120.0,120.0,0.20581132761398532,0.0,0.0037466998994753436,0.0,0.045511342146611115,True,True,True,2017-04-26 10:45:00,241,True,34.0,2017-06-16,False,False,False,True,2017,True,ALLGAP-0006
300538.SZ|2017-04-17,300538.SZ,CHINEXT,2017-04-17,1038,151,1.0,0.04382120946538124,2.534180543382997,2.57361963190184,0.039439088518843146,0.01524906811250421,57.83,57.83,53.12,54.94,2.534180543382997,2.534180543382997,2.3277826468010514,2.4075372480280453,2017-04-14,58.73,59.02,True,True,0.0,4.0,ELIGIBLE_FOR_MINUTE_VAP,2017-04-26,1045.0,158.0,0.04382120946538124,7.0,0.12934463081445602,0.0,0.0,-0.026154702281580122,0.0,0.6,2016-11-23,95.0,0.5170909090909097,-0.18705234159779593,-0.1400262275972609,0.2833304954878255,0.2833304954878255,120.0,120.0,0.13830235714285713,0.0,0.020549142857142856,0.0,0.37145322902770483,True,True,True,2017-04-26 10:51:00,241,True,,,False,False,False,False,2017,True,ALLGAP-0007
300551.SZ|2017-04-17,300551.SZ,CHINEXT,2017-04-17,1038,121,1.0,0.05564830272676687,2.6432943795214263,2.6711185308848098,0.027824151363383454,0.010399334442595675,47.5,47.5,44.0,44.88,2.6432943795214263,2.6432943795214263,2.4485253199777426,2.4974958263772975,2017-04-14,48.0,48.08,True,True,0.0,1.0,ELIGIBLE_FOR_MINUTE_VAP,2017-05-04,1050.0,133.0,0.05564830272676686,12.0,0.09326315789473716,0.0,0.0,0.003083700440528414,0.021874999999999097,0.4444444444444444,2016-11-14,102.0,0.5998544925427426,-0.23755153821757036,-0.21514854717597132,0.36416666666666675,0.36416666666666675,120.0,120.0,0.07183469498910675,0.0,0.00937363834422658,0.0,0.32622252887856035,True,True,True,2017-05-04 09:51:00,241,True,0.0,2017-05-04,True,True,True,True,2017,True,ALLGAP-0008
300520.SZ|2017-04-17,300520.SZ,CHINEXT,2017-04-17,1038,186,1.0,0.06910850034554251,4.038700760193504,4.107118175535591,0.06841741534208712,0.016560722649715656,58.44,58.44,54.03,54.75,4.038700760193504,4.038700760193504,3.7339322736696623,3.7836903939184525,2017-04-14,59.43,59.78,True,True,1.0,3.0,ELIGIBLE_FOR_MINUTE_VAP,2017-05-18,1060.0,208.0,0.06910850034554249,22.0,0.12731006160164282,0.0,0.0,0.012947311634597947,0.10227272727272539,0.5555555555555556,2016-10-20,119.0,0.6103418433578538,-0.26288532675708987,-0.1822161422708617,0.43025408043075886,0.4674096588990202,120.0,120.0,0.15511426086956523,0.0,0.028231913043478267,0.0,0.45501801196761554,True,True,True,2017-05-18 10:22:00,241,True,0.0,2017-05-18,True,True,True,True,2017,True,ALLGAP-0009
000977.SZ|2017-05-08,000977.SZ,MAIN,2017-05-08,1052,1052,1.0,0.28240385436568294,5.167990534891998,5.221647267221477,0.053656732329478984,0.010275824770145903,18.21,18.3,17.51,17.81,5.142574187999086,5.167990534891998,4.9448914899431085,5.029612646252813,2017-05-05,18.49,18.49,True,True,0.0,1.0,ELIGIBLE_FOR_MINUTE_VAP,2017-05-19,1061.0,1061.0,0.282403854365683,9.0,0.12349726775956271,0.0,0.0,-0.015863689776733136,0.0,0.5714285714285714,2016-11-10,118.0,0.2758478081058735,-0.06046747967479682,-0.11994288434079103,0.07625743645213623,0.1627906976744189,120.0,120.0,0.029176457811796473,0.0,0.0005288714070945389,0.0,0.04531662226666086,True,True,True,2017-05-19 14:16:00,241,True,1.0,2017-05-22,True,True,True,True,2017,True,ALLGAP-0010
