candidate_id,scope,market_view,denominator,predictor,response,estimate,observations
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_absolute,ALL_A,ALL_STATUS,correlation_median20,opportunity_spread_h3,-0.169947646735,1313
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_absolute,ALL_A,NON_ST,correlation_median20,opportunity_spread_h3,-0.164967485273,1313
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_absolute,CHINEXT_BOARD,ALL_STATUS,correlation_median20,opportunity_spread_h3,-0.208198641673,1313
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_absolute,CHINEXT_BOARD,NON_ST,correlation_median20,opportunity_spread_h3,-0.207274333604,1313
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_absolute,SH_A,ALL_STATUS,correlation_median20,opportunity_spread_h3,-0.218166964349,1313
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_absolute,SH_A,NON_ST,correlation_median20,opportunity_spread_h3,-0.219510806166,1313
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_absolute,SZ_A,ALL_STATUS,correlation_median20,opportunity_spread_h3,-0.146662434273,1313
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_absolute,SZ_A,NON_ST,correlation_median20,opportunity_spread_h3,-0.137016110919,1313
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_pit_3y,ALL_A,ALL_STATUS,correlation_median20_pit_3y_pct,opportunity_spread_h3,-0.35187293234,810
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_pit_3y,ALL_A,NON_ST,correlation_median20_pit_3y_pct,opportunity_spread_h3,-0.34033519434,810
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_pit_3y,CHINEXT_BOARD,ALL_STATUS,correlation_median20_pit_3y_pct,opportunity_spread_h3,-0.461170572182,810
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_pit_3y,CHINEXT_BOARD,NON_ST,correlation_median20_pit_3y_pct,opportunity_spread_h3,-0.459957524872,810
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_pit_3y,SH_A,ALL_STATUS,correlation_median20_pit_3y_pct,opportunity_spread_h3,-0.295699132172,810
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_pit_3y,SH_A,NON_ST,correlation_median20_pit_3y_pct,opportunity_spread_h3,-0.288672591082,810
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_pit_3y,SZ_A,ALL_STATUS,correlation_median20_pit_3y_pct,opportunity_spread_h3,-0.376992761779,810
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_pit_3y,SZ_A,NON_ST,correlation_median20_pit_3y_pct,opportunity_spread_h3,-0.36336437598,810
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_pit_expanding,ALL_A,ALL_STATUS,correlation_median20_pit_expanding_pct,opportunity_spread_h3,-0.273753392308,810
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_pit_expanding,ALL_A,NON_ST,correlation_median20_pit_expanding_pct,opportunity_spread_h3,-0.261337424977,810
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_pit_expanding,CHINEXT_BOARD,ALL_STATUS,correlation_median20_pit_expanding_pct,opportunity_spread_h3,-0.380764126461,810
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_pit_expanding,CHINEXT_BOARD,NON_ST,correlation_median20_pit_expanding_pct,opportunity_spread_h3,-0.379846629283,810
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_pit_expanding,SH_A,ALL_STATUS,correlation_median20_pit_expanding_pct,opportunity_spread_h3,-0.226998728421,810
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_pit_expanding,SH_A,NON_ST,correlation_median20_pit_expanding_pct,opportunity_spread_h3,-0.219003505602,810
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_pit_expanding,SZ_A,ALL_STATUS,correlation_median20_pit_expanding_pct,opportunity_spread_h3,-0.297803316984,810
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,coordinate_pit_expanding,SZ_A,NON_ST,correlation_median20_pit_expanding_pct,opportunity_spread_h3,-0.281187318558,810
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,neighbor_definition,ALL_A,ALL_STATUS,correlation_median10,opportunity_spread_h3,-0.159175701397,1323
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,neighbor_definition,ALL_A,ALL_STATUS,correlation_median40,opportunity_spread_h3,-0.191699023338,1293
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,neighbor_definition,ALL_A,NON_ST,correlation_median10,opportunity_spread_h3,-0.154392121138,1323
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,neighbor_definition,ALL_A,NON_ST,correlation_median40,opportunity_spread_h3,-0.187469134701,1293
CO_MOVEMENT__OPPORTUNITY_COMPRESSION,neighbor_definition,CHINEXT_BOARD,ALL_STATUS,correlation_median10,opportunity_spread_h3,-0.185098482507,1323
